# time x y z qx qy qz qw
1785985334.720000029 -0.198678424 0.317847314 0.088203600 -0.000006709 -0.000000298 -0.000048479 0.999999999
1785985334.730000019 -0.199063165 0.317376303 0.086009943 -0.000010726 0.000002432 -0.000070323 0.999999997
1785985334.740000010 -0.199652164 0.316586496 0.082384430 0.000057775 0.000157222 0.000113899 0.999999979
1785985334.750000000 -0.200512760 0.315508133 0.077448880 0.000169489 0.000302314 0.000440989 0.999999843
1785985334.759999990 -0.201674058 0.314188358 0.071616393 0.000083371 0.000465696 0.000511526 0.999999757
1785985334.769999981 -0.203134960 0.312596902 0.065129130 0.000155094 0.000637620 0.000381144 0.999999712
1785985334.779999971 -0.204921599 0.310755248 0.058151125 0.000215975 0.000650084 0.000460487 0.999999659
1785985334.789999962 -0.206998339 0.308687670 0.050843530 0.000294767 0.000648897 0.000417429 0.999999659
1785985334.799999952 -0.209437068 0.306426642 0.043326565 0.000228217 0.000686152 0.000416924 0.999999652
1785985334.809999943 -0.212294178 0.303960743 0.035618987 -0.000006547 0.000839931 0.000212375 0.999999625
1785985334.819999933 -0.215505167 0.301272875 0.027864933 0.000014228 0.000872398 0.000257234 0.999999586
1785985334.829999924 -0.219021572 0.298386769 0.020099910 0.000075533 0.000902256 0.000527106 0.999999451
1785985334.839999914 -0.222878625 0.295391857 0.012275724 0.000202769 0.000928911 0.000993297 0.999999055
1785985334.849999905 -0.227057448 0.292365211 0.004452715 0.000121023 0.000963746 0.001191680 0.999998818
1785985334.859999895 -0.231427150 0.289307439 -0.003164110 0.000065236 0.001013801 0.001472098 0.999998400
1785985334.869999886 -0.235881974 0.286224345 -0.010573943 0.000014214 0.001042892 0.001708438 0.999997997
1785985334.880000114 -0.240361185 0.283120090 -0.017855288 -0.000035514 0.001077087 0.002065119 0.999997287
1785985334.890000105 -0.244831744 0.280015993 -0.024816592 -0.000005845 0.001107900 0.002396930 0.999996514
1785985334.900000095 -0.249285815 0.276929646 -0.031359412 -0.000001535 0.001151602 0.002628999 0.999995881
1785985334.910000086 -0.253719735 0.273869874 -0.037679282 -0.000048166 0.001211720 0.002966791 0.999994864
1785985334.920000076 -0.258115488 0.270861412 -0.043745604 -0.000086039 0.001191837 0.003253836 0.999993992
1785985334.930000067 -0.262425094 0.267930512 -0.049341092 -0.000114522 0.001190791 0.003537848 0.999993026
1785985334.940000057 -0.266559102 0.265135685 -0.054537618 -0.000165075 0.001171718 0.003704332 0.999992439
