# time x y z qx qy qz qw
1785985334.759999990 -0.294529915 0.244841830 -0.083911818 -0.059202940 -0.096718635 0.091441911 0.989332550
1785985334.769999981 -0.326668885 0.240779222 -0.102487802 -0.060246857 -0.096156424 0.094749295 0.989013058
1785985334.779999971 -0.309272489 0.268908214 -0.097905183 -0.061058607 -0.096512599 0.093164776 0.989079112
1785985334.789999962 -0.313360833 0.256869592 -0.085071583 -0.063264428 -0.096249223 0.095363912 0.988756504
1785985334.799999952 -0.309541974 0.269967257 -0.086080398 -0.063593826 -0.096363073 0.095146312 0.988745247
1785985334.809999943 -0.327847901 0.262030181 -0.097079077 -0.065894655 -0.096382608 0.095504262 0.988558154
1785985334.819999933 -0.318518769 0.260843351 -0.080184317 -0.066650044 -0.096251973 0.096523720 0.988421216
1785985334.829999924 -0.312036851 0.268014908 -0.085389969 -0.068350071 -0.096350269 0.096687338 0.988279542
1785985334.839999914 -0.306063750 0.256786963 -0.081403808 -0.068233360 -0.095656269 0.100747603 0.987949395
1785985334.849999905 -0.304458441 0.267367139 -0.095204054 -0.069114767 -0.095766719 0.100729277 0.987879293
1785985334.859999895 -0.313162091 0.242545239 -0.105974144 -0.070212403 -0.095055151 0.104901734 0.987436258
1785985334.869999886 -0.294541188 0.259738133 -0.096144204 -0.069959335 -0.095519875 0.102426842 0.987669169
1785985334.880000114 -0.304325223 0.268789541 -0.076987948 -0.070836734 -0.095563713 0.102046028 0.987641809
1785985334.890000105 -0.302857843 0.277439058 -0.080385695 -0.070733668 -0.095812504 0.100612217 0.987772187
1785985334.900000095 -0.315813179 0.267422042 -0.102137932 -0.072047493 -0.095626069 0.101935745 0.987559577
1785985334.910000086 -0.298207501 0.266259583 -0.080592244 -0.072561014 -0.095613898 0.102230789 0.987492657
1785985334.920000076 -0.297625344 0.259629446 -0.093022010 -0.072799107 -0.095277720 0.104345946 0.987286367
1785985334.930000067 -0.303930495 0.265591718 -0.092352532 -0.072925706 -0.095427894 0.103579814 0.987343193
1785985334.940000057 -0.301047885 0.266909716 -0.072247674 -0.074258022 -0.095090520 0.105625551 0.987059665
1785985334.950000048 -0.287824932 0.260854504 -0.066903043 -0.075312838 -0.095143740 0.106370287 0.986894628
1785985334.960000038 -0.316125453 0.262262910 -0.086458579 -0.074761182 -0.094985868 0.107115464 0.986871181
1785985334.970000029 -0.319985868 0.274813748 -0.103590664 -0.076580530 -0.095332277 0.105190197 0.986905366
1785985334.980000019 -0.308088543 0.292273776 -0.085916298 -0.079666023 -0.095552908 0.105790960 0.986575511
1785985334.990000010 -0.325517923 0.267529718 -0.087912647 -0.080996381 -0.095486541 0.106349471 0.986413553
1785985335.000000000 -0.311081015 0.254968828 -0.085613601 -0.080149886 -0.095587730 0.105765299 0.986535698
1785985335.009999990 -0.325389947 0.262066074 -0.091772742 -0.080773699 -0.095447603 0.106404825 0.986429611
1785985335.019999981 -0.306341805 0.267716179 -0.093811854 -0.081121502 -0.095713675 0.105052459 0.986520236
1785985335.029999971 -0.292845684 0.265082808 -0.085142287 -0.081986267 -0.096072785 0.103389922 0.986589477
1785985335.039999962 -0.302310120 0.259287914 -0.090465883 -0.082996348 -0.095748093 0.105232406 0.986341751
1785985335.049999952 -0.291168260 0.268311034 -0.097662985 -0.082606480 -0.096173292 0.102864858 0.986582834
1785985335.059999943 -0.298892359 0.255306175 -0.090507841 -0.083368533 -0.096236747 0.102578242 0.986542387
1785985335.069999933 -0.295292617 0.259902482 -0.068580032 -0.081748454 -0.096231220 0.102195646 0.986718193
1785985335.079999924 -0.312155246 0.244131201 -0.084935513 -0.082396050 -0.096031454 0.103273370 0.986571570
1785985335.089999914 -0.308289754 0.266067634 -0.085394904 -0.082521828 -0.096147873 0.102564153 0.986623702
1785985335.099999905 -0.303391575 0.265540679 -0.074092314 -0.082629566 -0.096197698 0.102428980 0.986623870
1785985335.109999895 -0.314371914 0.253737467 -0.080125875 -0.083852870 -0.096142118 0.102946819 0.986472170
1785985335.119999886 -0.311139918 0.255780256 -0.087070712 -0.082669043 -0.096183079 0.102411214 0.986623833
1785985335.130000114 -0.312235042 0.257196069 -0.081634088 -0.082314172 -0.095910775 0.103318219 0.986585448
1785985335.140000105 -0.286815732 0.268162765 -0.066021845 -0.081945509 -0.096006303 0.102914269 0.986649065
1785985335.150000095 -0.295041217 0.247063617 -0.070039333 -0.082010089 -0.095917766 0.103691199 0.986570962
1785985335.160000086 -0.323072492 0.259940646 -0.086145175 -0.082757927 -0.096079089 0.102812993 0.986584727
1785985335.170000076 -0.313031827 0.272618021 -0.074803522 -0.082797542 -0.096355363 0.101244601 0.986716647
