# time x y z qx qy qz qw
1785982569.910000086 0.011014205 -0.000200401 0.094334608 -0.000160811 -0.000029398 0.000066713 0.999999984
1785982569.920000076 0.010496360 -0.000448791 0.092082718 -0.000230482 0.000011285 -0.000267057 0.999999938
1785982569.930000067 0.009630691 -0.000804212 0.088762985 -0.000261013 -0.000022917 -0.000455239 0.999999862
1785982569.940000057 0.008390022 -0.001320858 0.084661421 -0.000202053 -0.000091262 -0.000490509 0.999999855
1785982569.950000048 0.006745249 -0.001957777 0.079904481 -0.000092985 -0.000102171 -0.000753439 0.999999707
1785982569.960000038 0.004732831 -0.002717804 0.074467086 -0.000068666 0.000073891 -0.000736791 0.999999723
1785982569.970000029 0.002340668 -0.003621477 0.068578726 0.000002570 0.000052100 -0.000695045 0.999999757
1785982569.980000019 -0.000404768 -0.004627568 0.062407115 -0.000002379 0.000108462 -0.000480245 0.999999879
1785982569.990000010 -0.003533826 -0.005776230 0.056020190 -0.000086048 0.000140602 -0.000472958 0.999999875
1785982570.000000000 -0.007063646 -0.007117012 0.049402156 -0.000236850 0.000236858 -0.000537169 0.999999800
1785982570.009999990 -0.010907584 -0.008664310 0.042604126 -0.000286915 0.000246750 -0.000451106 0.999999827
1785982570.019999981 -0.014996398 -0.010355341 0.035712414 -0.000309708 0.000320491 0.000042686 0.999999900
1785982570.029999971 -0.019232259 -0.012118619 0.028798164 -0.000370448 0.000313335 0.000404225 0.999999801
1785982570.039999962 -0.023518298 -0.013931411 0.021879099 -0.000345225 0.000350676 0.000815998 0.999999546
1785982570.049999952 -0.027821981 -0.015788624 0.014976079 -0.000437132 0.000366325 0.001071885 0.999999263
1785982570.059999943 -0.032124964 -0.017688805 0.008164084 -0.000482294 0.000348786 0.001362801 0.999998894
1785982570.069999933 -0.036388988 -0.019618250 0.001649331 -0.000523754 0.000334116 0.001690866 0.999998378
1785982570.079999924 -0.040581738 -0.021563233 -0.004424641 -0.000640655 0.000341559 0.002112751 0.999997505
1785982570.089999914 -0.044704935 -0.023517573 -0.010117746 -0.000722902 0.000318908 0.002412651 0.999996777
1785982570.099999905 -0.048767388 -0.025466881 -0.015441279 -0.000849542 0.000377117 0.002768983 0.999995734
1785982570.109999895 -0.052774134 -0.027394121 -0.020349036 -0.000913141 0.000386683 0.003067781 0.999994803
1785982570.119999886 -0.056704000 -0.029284825 -0.024792463 -0.000924559 0.000389514 0.003402284 0.999993709
1785982570.130000114 -0.060475851 -0.031126392 -0.028625225 -0.000976410 0.000433504 0.003946325 0.999991643
1785982570.140000105 -0.063999134 -0.032912823 -0.031713160 -0.001071942 0.000591634 0.004208863 0.999990393
1785982570.150000095 -0.067207962 -0.034655416 -0.034183336 -0.001071409 0.000607383 0.004412716 0.999989505
1785982570.160000086 -0.070084135 -0.036328861 -0.036383257 -0.001027333 0.000683559 0.004655524 0.999988402
1785982570.170000076 -0.072610196 -0.037893680 -0.038537221 -0.001139809 0.000869707 0.004769840 0.999987596
1785982570.180000067 -0.074813497 -0.039286757 -0.040567242 -0.001131976 0.000923419 0.005047224 0.999986196
1785982570.190000057 -0.076735276 -0.040439598 -0.042236957 -0.001153155 0.000898917 0.005184801 0.999985490
