# time x y z qx qy qz qw
1785982569.950000048 -0.072157218 0.004578133 -0.066807599 -0.257321027 0.005058604 0.123876572 0.958339655
1785982569.960000038 -0.082346394 -0.002200229 -0.059296878 -0.258198351 0.004851422 0.123550499 0.958146831
1785982569.970000029 -0.087281843 -0.005970779 -0.076910852 -0.257785114 0.004341166 0.122209229 0.958432519
1785982569.980000019 -0.108191504 -0.008133765 -0.102151664 -0.256712210 0.004725655 0.122742141 0.958650550
1785982569.990000010 -0.089435338 -0.005670030 -0.093913828 -0.257179120 0.004585458 0.122442684 0.958564376
1785982570.000000000 -0.081039855 -0.013797276 -0.072041874 -0.256044428 0.005368551 0.124282131 0.958627342
1785982570.009999990 -0.085911956 -0.004027865 -0.061373220 -0.255893608 0.005703088 0.125083254 0.958561482
1785982570.019999981 -0.086263858 -0.000637363 -0.060427647 -0.256061103 0.006407864 0.127124101 0.958243765
1785982570.029999971 -0.091163776 -0.015313201 -0.061941136 -0.255593172 0.005234969 0.123767783 0.958815030
1785982570.039999962 -0.093471121 -0.013268153 -0.060654150 -0.256031734 0.005934380 0.125732376 0.958438263
1785982570.049999952 -0.081409560 -0.010718190 -0.050444572 -0.255972868 0.005313142 0.123998406 0.958683502
1785982570.059999943 -0.076796870 0.000331481 -0.058790739 -0.256343701 0.004709122 0.122522742 0.958777299
1785982570.069999933 -0.088264609 -0.001617913 -0.076701551 -0.257057883 0.004589246 0.122445583 0.958596507
1785982570.079999924 -0.097616046 0.001361294 -0.079934343 -0.256777761 0.004535178 0.122155947 0.958708787
1785982570.089999914 -0.100504776 0.002607854 -0.062309728 -0.254758882 0.003523885 0.118791750 0.959673910
1785982570.099999905 -0.097577170 -0.000599508 -0.056051125 -0.254302136 0.003863840 0.119543666 0.959700373
1785982570.109999895 -0.091274247 -0.006977552 -0.043386127 -0.254402624 0.004112882 0.120051490 0.959609311
1785982570.119999886 -0.072871265 -0.002387760 -0.030324928 -0.257406943 0.005387694 0.124617394 0.958218735
1785982570.130000114 -0.084145537 -0.013102258 -0.054967649 -0.254840744 0.006289991 0.126277699 0.958681685
1785982570.140000105 -0.089019504 -0.013890436 -0.087391475 -0.255823116 0.006486392 0.127204559 0.958296124
1785982570.150000095 -0.103341547 -0.011610305 -0.094556724 -0.255788783 0.006188613 0.126239299 0.958434890
1785982570.160000086 -0.088023457 0.007565899 -0.075790643 -0.255524413 0.006397179 0.126983925 0.958405672
1785982570.170000076 -0.100092962 0.004099471 -0.047065942 -0.254962446 0.006473327 0.126744743 0.958586468
1785982570.180000067 -0.086842276 0.008918898 -0.039701494 -0.253689150 0.006900604 0.127580537 0.958810411
1785982570.190000057 -0.080634857 -0.011731511 -0.056580603 -0.252354997 0.007128793 0.127791617 0.959132649
1785982570.200000048 -0.089092646 -0.007756495 -0.077729087 -0.252193988 0.006945155 0.127173990 0.959258429
1785982570.210000038 -0.075554766 -0.005588666 -0.080526423 -0.252170652 0.006400550 0.125867555 0.959440646
1785982570.220000029 -0.099318883 -0.022998921 -0.069117846 -0.251903950 0.006297364 0.125438487 0.959567574
1785982570.230000019 -0.097682215 -0.027244699 -0.059551460 -0.251427160 0.005791016 0.123742877 0.959915907
1785982570.240000010 -0.077281505 -0.018971618 -0.052058541 -0.250847098 0.006012058 0.124273304 0.959997778
1785982570.250000000 -0.078404533 -0.013256232 -0.073174527 -0.249588250 0.006028568 0.123838321 0.960381920
1785982570.259999990 -0.073489196 -0.009803623 -0.097632986 -0.249833029 0.006181827 0.124328141 0.960254006
1785982570.269999981 -0.063433953 -0.008474035 -0.079801094 -0.250342335 0.005796314 0.123456869 0.960236179
1785982570.279999971 -0.073616028 -0.004203053 -0.083199881 -0.249093199 0.005586258 0.122605990 0.960671194
1785982570.289999962 -0.086045213 -0.019648264 -0.074440761 -0.248171798 0.004204848 0.118406414 0.961443185
1785982570.299999952 -0.078546874 -0.025363055 -0.051343624 -0.247460479 0.004357143 0.118661053 0.961594447
1785982570.309999943 -0.080969635 -0.015101660 -0.051135398 -0.247040277 0.004048290 0.117647210 0.961828387
1785982570.319999933 -0.083049977 -0.007253630 -0.045149762 -0.249158071 0.004944745 0.120788868 0.960888055
1785982570.329999924 -0.077076989 0.002095762 -0.062441408 -0.249521062 0.005415533 0.122225474 0.960609621
1785982570.339999914 -0.077661864 0.005641898 -0.074644209 -0.250217736 0.004720270 0.120607312 0.960636601
1785982570.349999905 -0.083219779 -0.021333597 -0.074302940 -0.249885566 0.003726433 0.117724075 0.961084991
1785982570.359999895 -0.092431195 -0.001846823 -0.070029343 -0.249740820 0.003565197 0.117100276 0.961199427
1785982570.369999886 -0.082289656 -0.002948998 -0.061780325 -0.249879541 0.002736927 0.114867428 0.961435488
1785982570.380000114 -0.081740209 0.002176757 -0.059236337 -0.249999283 0.003451125 0.116726523 0.961178114
1785982570.390000105 -0.066462971 0.003075897 -0.059385766 -0.252996653 0.003921920 0.119053012 0.960106084
1785982570.400000095 -0.080552598 0.002888284 -0.073334415 -0.253430951 0.004165557 0.119795553 0.959898134
1785982570.410000086 -0.084600142 0.000603767 -0.076481506 -0.253820694 0.004447489 0.120824777 0.959664862
1785982570.420000076 -0.098620421 -0.010378389 -0.074296468 -0.254096998 0.004576490 0.121185149 0.959545690
1785982570.430000067 -0.092059784 -0.018352211 -0.057689304 -0.254020334 0.004366273 0.120557901 0.959645975
1785982570.440000057 -0.090155222 -0.012003605 -0.048571433 -0.253714490 0.003732112 0.118780902 0.959951106
1785982570.450000048 -0.087037984 -0.024731020 -0.056107139 -0.254557765 0.003764671 0.119041918 0.959695365
1785982570.460000038 -0.079842487 0.007346622 -0.083980330 -0.255030608 0.004111151 0.120107564 0.959435595
1785982570.470000029 -0.082817688 0.005663960 -0.107904432 -0.255308247 0.004096041 0.120303293 0.959337292
1785982570.480000019 -0.085972624 -0.008580884 -0.093523904 -0.256501812 0.004121713 0.120561460 0.958986322
1785982570.490000010 -0.082712949 0.009408791 -0.065132960 -0.257921426 0.004024259 0.120915266 0.958561339
1785982570.500000000 -0.091542974 -0.013439570 -0.063781433 -0.258097247 0.003606364 0.119880486 0.958645646
1785982570.509999990 -0.100520136 -0.023415153 -0.067156980 -0.259757676 0.003029234 0.118710657 0.958344695
1785982570.519999981 -0.091774716 -0.022539727 -0.066161831 -0.262063114 0.003221678 0.119815614 0.957578594
1785982570.529999971 -0.079572297 -0.014053739 -0.077029449 -0.262751119 0.003628294 0.121130096 0.957223164
1785982570.539999962 -0.079874887 0.000690563 -0.082109550 -0.263190571 0.004270750 0.122933908 0.956869760
1785982570.549999952 -0.062629012 0.012340131 -0.059625373 -0.264312035 0.004279212 0.123478712 0.956490379
1785982570.559999943 -0.070333833 -0.004744605 -0.057156355 -0.263560581 0.004015882 0.122535106 0.956820172
1785982570.569999933 -0.078299085 -0.012627832 -0.072776785 -0.261460655 0.003045374 0.119329570 0.957804524
1785982570.579999924 -0.088655514 -0.004007677 -0.071232934 -0.259309333 0.002476949 0.117071337 0.958669305
1785982570.589999914 -0.082003899 0.000206859 -0.067475435 -0.259015211 0.002470968 0.117002695 0.958757208
1785982570.599999905 -0.089968547 0.008157113 -0.060517591 -0.260331774 0.003937025 0.121431792 0.957844553
1785982570.609999895 -0.097093024 0.008499628 -0.067866006 -0.262310528 0.005015491 0.124822944 0.956863242
1785982570.619999886 -0.089977100 0.000909821 -0.062618644 -0.262010629 0.004997500 0.124776903 0.956951503
1785982570.630000114 -0.107156507 0.004914604 -0.061046442 -0.260491398 0.003766255 0.121164439 0.957835699
1785982570.640000105 -0.117354434 -0.003066004 -0.055416552 -0.259039575 0.003716665 0.120491373 0.958314413
1785982570.650000095 -0.105280029 -0.002553650 -0.055452307 -0.257198995 0.003766186 0.120110792 0.958857597
1785982570.660000086 -0.101259217 -0.002415311 -0.068727673 -0.256152539 0.003745355 0.119741442 0.959183943
1785982570.670000076 -0.093098314 -0.011257623 -0.080106383 -0.254259837 0.004662115 0.121466855 0.959466520
1785982570.680000067 -0.077289160 0.003692319 -0.067025437 -0.254017732 0.004701087 0.121691549 0.959501985
1785982570.690000057 -0.090785631 -0.003880745 -0.050946422 -0.253338552 0.003975612 0.119423050 0.959969743
1785982570.700000048 -0.085144643 -0.017660594 -0.055319117 -0.255340109 0.004938327 0.122694839 0.959021907
1785982570.710000038 -0.089067285 -0.026889371 -0.058958113 -0.256597920 0.004738946 0.122498108 0.958712294
1785982570.720000029 -0.085517856 -0.025998776 -0.063638055 -0.257978195 0.004850806 0.123258268 0.958243768
1785982570.730000019 -0.088438571 -0.027528048 -0.096163027 -0.257680689 0.005089796 0.123841550 0.958247373
1785982570.740000010 -0.096898632 -0.021477148 -0.101196174 -0.258103847 0.005988360 0.126329641 0.957803406
1785982570.750000000 -0.082348098 -0.023517648 -0.087633373 -0.256813116 0.006586013 0.127543042 0.957985606
1785982570.759999990 -0.077433288 -0.015808768 -0.074525880 -0.258462967 0.006916857 0.128986224 0.957346127
1785982570.769999981 -0.081920884 -0.000539861 -0.058608750 -0.260385122 0.007147061 0.130161183 0.956664295
1785982570.779999971 -0.082238793 -0.010577767 -0.071928262 -0.258795388 0.007099429 0.129698343 0.957158756
1785982570.789999962 -0.099531250 -0.007227433 -0.099804938 -0.255983057 0.007132059 0.128826019 0.958032184
1785982570.799999952 -0.096310539 0.012336478 -0.091118505 -0.252920498 0.007377527 0.128541488 0.958881578
1785982570.809999943 -0.088044710 0.003483075 -0.071703224 -0.250903235 0.007852814 0.129325255 0.959302287
1785982570.819999933 -0.101833398 0.007277443 -0.077246882 -0.250876519 0.008800445 0.131928963 0.958946439
1785982570.829999924 -0.103436490 -0.007260445 -0.068647430 -0.250785706 0.008787720 0.131703906 0.959001244
1785982570.839999914 -0.086693654 -0.007974495 -0.064501241 -0.251315767 0.008428921 0.130899513 0.958975837
1785982570.849999905 -0.080906919 -0.019182082 -0.073934745 -0.250772157 0.007292344 0.127615736 0.959569889
1785982570.859999895 -0.086078294 -0.022971189 -0.075883388 -0.252033490 0.007582703 0.128798520 0.959079019
1785982570.869999886 -0.090269417 -0.013351732 -0.081952679 -0.252486717 0.007781732 0.129418842 0.958874687
1785982570.880000114 -0.087071195 -0.009811462 -0.086196486 -0.251238215 0.007123589 0.127249300 0.959497905
1785982570.890000105 -0.089038214 -0.010881292 -0.073688438 -0.252459297 0.006989018 0.127122106 0.959195198
1785982570.900000095 -0.075444678 -0.012465644 -0.056511846 -0.255380526 0.006709262 0.127425293 0.958383309
1785982570.910000086 -0.075867547 -0.033093118 -0.052894794 -0.254556527 0.006740218 0.127271903 0.958622661
1785982570.920000076 -0.088141065 -0.014915918 -0.066875481 -0.254831015 0.006721388 0.127389986 0.958534177
1785982570.930000067 -0.097049525 -0.003095170 -0.063560438 -0.255480411 0.006742225 0.127451754 0.958352937
1785982570.940000057 -0.081413624 0.008698129 -0.067609889 -0.257368493 0.006544494 0.127739032 0.957810716
