# time x y z qx qy qz qw
1785983341.799999952 0.168314833 -0.027826299 0.095857199 0.000026604 0.000223948 -0.000564242 0.999999815
1785983341.809999943 0.167826252 -0.028000405 0.094713880 0.000028037 0.000173893 -0.001140576 0.999999334
1785983341.819999933 0.167011514 -0.028278388 0.093124829 0.000098739 -0.000093207 -0.001469993 0.999998910
1785983341.829999924 0.165961841 -0.028633172 0.091178071 -0.000042469 -0.000213732 -0.002080168 0.999997813
1785983341.839999914 0.164775624 -0.029110154 0.089298800 0.000089207 -0.000337936 -0.002683910 0.999996337
1785983341.849999905 0.163531838 -0.029708192 0.087479602 0.000076667 -0.000266009 -0.003345065 0.999994367
1785983341.859999895 0.162115140 -0.030374676 0.085645799 -0.000019619 -0.000250401 -0.003758413 0.999992906
1785983341.869999886 0.160394226 -0.031084591 0.083813234 -0.000175750 -0.000081162 -0.004253473 0.999990935
1785983341.880000114 0.158505775 -0.031780919 0.082043354 -0.000186454 0.000049647 -0.005037199 0.999987295
1785983341.890000105 0.156572168 -0.032452213 0.080387166 -0.000107512 0.000061453 -0.005525335 0.999984728
1785983341.900000095 0.154639965 -0.033138591 0.078778355 -0.000089540 -0.000036568 -0.006025411 0.999981842
1785983341.910000086 0.152682027 -0.033821380 0.077341252 -0.000145428 -0.000084116 -0.006831196 0.999976653
1785983341.920000076 0.150664493 -0.034528325 0.076042938 -0.000069600 -0.000116170 -0.007544469 0.999971531
1785983341.930000067 0.148640601 -0.035309433 0.074722065 -0.000051775 -0.000172637 -0.008077222 0.999967362
1785983341.940000057 0.146646513 -0.036175959 0.073416608 -0.000215462 -0.000164199 -0.008682630 0.999962269
1785983341.950000048 0.144719321 -0.037088840 0.072130403 -0.000189585 -0.000214951 -0.009307112 0.999956647
1785983341.960000038 0.142858580 -0.037955652 0.070834237 0.000057190 -0.000219958 -0.010079485 0.999949175
1785983341.970000029 0.141081632 -0.038768896 0.069804256 -0.000039339 -0.000049998 -0.010812113 0.999941545
1785983341.980000019 0.139350801 -0.039556520 0.069073347 -0.000021168 0.000009365 -0.011379578 0.999935250
1785983341.990000010 0.137622243 -0.040324421 0.068346056 -0.000096764 0.000092180 -0.011996564 0.999928030
1785983342.000000000 0.136043826 -0.041120134 0.067606147 -0.000010591 0.000128943 -0.012588098 0.999920758
1785983342.009999990 0.134597628 -0.041920925 0.066905217 0.000151548 0.000095300 -0.013138241 0.999913674
1785983342.019999981 0.133174381 -0.042686335 0.066260777 0.000241189 0.000124666 -0.013671562 0.999906503
1785983342.029999971 0.131783647 -0.043404794 0.065598530 0.000167724 -0.000022119 -0.014329284 0.999897316
1785983342.039999962 0.130412617 -0.044068111 0.064792088 0.000262784 -0.000014101 -0.014925843 0.999888569
1785983342.049999952 0.129014438 -0.044670436 0.063893247 0.000239613 -0.000099283 -0.015616897 0.999878015
1785983342.059999943 0.127559306 -0.045239421 0.063022002 0.000078235 -0.000154995 -0.016302080 0.999867097
1785983342.069999933 0.126125695 -0.045855658 0.062149850 0.000066920 -0.000187733 -0.016901321 0.999857143
1785983342.079999924 0.124753748 -0.046491914 0.061328877 0.000053197 -0.000315214 -0.017459252 0.999847525
1785983342.089999914 0.123410169 -0.047115186 0.060542279 0.000255471 -0.000215855 -0.018024542 0.999837489
1785983342.099999905 0.122095834 -0.047762584 0.059762816 0.000175454 -0.000242645 -0.018663528 0.999825776
1785983342.109999895 0.120873255 -0.048422343 0.059006755 0.000226767 -0.000330130 -0.019274855 0.999814143
1785983342.119999886 0.119727251 -0.048991466 0.058283994 0.000172243 -0.000390094 -0.019789141 0.999804085
1785983342.130000114 0.118618162 -0.049449901 0.057877880 0.000305906 -0.000409245 -0.020348962 0.999792808
1785983342.140000105 0.117632956 -0.049838097 0.058127763 0.000378941 -0.000348838 -0.021039724 0.999778508
1785983342.150000095 0.116761315 -0.050142869 0.058797542 0.000439641 -0.000334868 -0.021771900 0.999762811
1785983342.160000086 0.115938911 -0.050390322 0.059552823 0.000622656 -0.000420984 -0.022402271 0.999748755
1785983342.170000076 0.115238242 -0.050648972 0.060323895 0.000668413 -0.000419033 -0.023014399 0.999734822
1785983342.180000067 0.114618065 -0.050927806 0.061225278 0.000938838 -0.000640054 -0.023719305 0.999718012
1785983342.190000057 0.114043109 -0.051213641 0.062121984 0.000985627 -0.000712127 -0.024341023 0.999702974
1785983342.200000048 0.113507136 -0.051539328 0.062699860 0.001033572 -0.000709456 -0.024999959 0.999686666
1785983342.210000038 0.112962984 -0.051898239 0.063093132 0.001065482 -0.000708731 -0.025470276 0.999674761
1785983342.220000029 0.112448079 -0.052275847 0.063364231 0.001149122 -0.000730569 -0.026045894 0.999659821
1785983342.230000019 0.111976009 -0.052664690 0.063553251 0.001167317 -0.000674601 -0.026576343 0.999645877
1785983342.240000010 0.111601680 -0.053043715 0.063732635 0.001242917 -0.000776477 -0.027091385 0.999631887
1785983342.250000000 0.111344172 -0.053414447 0.063974005 0.001302123 -0.000760245 -0.027785558 0.999612770
1785983342.259999990 0.111228422 -0.053808838 0.064558633 0.001630847 -0.000805846 -0.028346658 0.999596498
1785983342.269999981 0.111276900 -0.054198288 0.065479946 0.001639134 -0.000925565 -0.028861087 0.999581660
1785983342.279999971 0.111447689 -0.054554065 0.066480347 0.001748060 -0.000891194 -0.029357316 0.999567055
1785983342.289999962 0.111803636 -0.054875439 0.067532043 0.001738871 -0.000877446 -0.029798226 0.999554037
1785983342.299999952 0.112344092 -0.055151575 0.068669557 0.001732096 -0.000838389 -0.030423045 0.999535260
1785983342.309999943 0.112978029 -0.055403313 0.069857411 0.001773517 -0.000916262 -0.030924036 0.999519744
1785983342.319999933 0.113667909 -0.055641639 0.071059408 0.001831292 -0.000786071 -0.031462175 0.999502956
1785983342.329999924 0.114405040 -0.055846789 0.072234195 0.001827891 -0.000761730 -0.031997131 0.999485999
1785983342.339999914 0.115201115 -0.055959744 0.073379397 0.001764762 -0.000804949 -0.032553555 0.999468110
1785983342.349999905 0.116076953 -0.056015603 0.074547587 0.001880019 -0.000893551 -0.033139990 0.999448552
1785983342.359999895 0.117044332 -0.056056283 0.075715591 0.002043487 -0.000954600 -0.033724758 0.999428614
1785983342.369999886 0.118081574 -0.056050906 0.076786443 0.001916096 -0.001095926 -0.034339422 0.999407790
1785983342.380000114 0.119179211 -0.055994911 0.077611867 0.001813930 -0.001203119 -0.034958007 0.999386412
1785983342.390000105 0.120316668 -0.055892691 0.078286783 0.001756623 -0.001209263 -0.035506515 0.999367169
1785983342.400000095 0.121464251 -0.055715288 0.078868296 0.001799427 -0.001226523 -0.036177094 0.999343022
1785983342.410000086 0.122648720 -0.055402916 0.079374914 0.001912461 -0.001380565 -0.036964503 0.999313796
1785983342.420000076 0.123886501 -0.055065481 0.079916506 0.001810855 -0.001350523 -0.037646226 0.999288576
1785983342.430000067 0.125118549 -0.054738307 0.080558025 0.001905805 -0.001433522 -0.038245806 0.999265516
1785983342.440000057 0.126305212 -0.054319169 0.081266733 0.001837396 -0.001641807 -0.038928064 0.999238978
1785983342.450000048 0.127462835 -0.053904893 0.081943381 0.001850482 -0.001703686 -0.039495742 0.999216573
1785983342.460000038 0.128619179 -0.053588023 0.082635472 0.001767516 -0.001576697 -0.039998543 0.999196931
1785983342.470000029 0.129759953 -0.053349672 0.083354710 0.001788027 -0.001760189 -0.040511717 0.999175913
1785983342.480000019 0.130882903 -0.053102503 0.084111831 0.001919032 -0.001761216 -0.041164170 0.999149001
1785983342.490000010 0.131982194 -0.052824960 0.084925905 0.001950753 -0.001798170 -0.041754331 0.999124385
1785983342.500000000 0.133049904 -0.052522356 0.085777858 0.001836228 -0.001872973 -0.042408990 0.999096891
1785983342.509999990 0.134099506 -0.052161068 0.086566554 0.001866371 -0.001901991 -0.043076171 0.999068237
1785983342.519999981 0.135105418 -0.051756916 0.087310080 0.001777372 -0.001877102 -0.043667319 0.999042783
1785983342.529999971 0.136056081 -0.051318654 0.088042179 0.001814058 -0.001782382 -0.044263648 0.999016647
1785983342.539999962 0.136975851 -0.050876175 0.088722883 0.001867348 -0.001769642 -0.044753428 0.998994751
1785983342.549999952 0.137910020 -0.050458925 0.089318463 0.001910254 -0.001686403 -0.045442483 0.998963707
1785983342.559999943 0.138913480 -0.050129429 0.089839259 0.002000851 -0.001824452 -0.046131298 0.998931715
1785983342.569999933 0.139946853 -0.049904619 0.090371165 0.002047203 -0.001743966 -0.046877387 0.998897031
1785983342.579999924 0.140870273 -0.049728659 0.090745604 0.001945761 -0.001839938 -0.047468444 0.998869148
1785983342.589999914 0.141669774 -0.049566663 0.090675654 0.002043313 -0.001755377 -0.048031211 0.998842203
1785983342.599999905 0.142445303 -0.049444166 0.090367965 0.002110809 -0.001657291 -0.048691932 0.998810239
1785983342.609999895 0.143203202 -0.049372035 0.090053988 0.002078419 -0.001666870 -0.049229564 0.998783936
1785983342.619999886 0.143878237 -0.049334511 0.089585876 0.002076115 -0.001581649 -0.049814049 0.998755099
1785983342.630000114 0.144417618 -0.049350108 0.088956422 0.002090686 -0.001501525 -0.050319705 0.998729844
1785983342.640000105 0.144837448 -0.049436708 0.088276947 0.002130244 -0.001542054 -0.050774132 0.998706700
1785983342.650000095 0.145187934 -0.049591263 0.087599327 0.002177388 -0.001550074 -0.051454562 0.998671760
1785983342.660000086 0.145456204 -0.049857175 0.086840244 0.002206856 -0.001370309 -0.052202786 0.998633126
1785983342.670000076 0.145648157 -0.050267262 0.086025583 0.002239952 -0.001460847 -0.052742226 0.998604579
1785983342.680000067 0.145796639 -0.050757827 0.085203527 0.002289872 -0.001312794 -0.053244737 0.998578004
1785983342.690000057 0.145905672 -0.051303292 0.084301021 0.002473842 -0.001282849 -0.053883066 0.998543364
1785983342.700000048 0.145974556 -0.051872021 0.083397597 0.002410410 -0.001243837 -0.054433791 0.998513698
1785983342.710000038 0.146009760 -0.052444611 0.082699722 0.002569431 -0.001291695 -0.055187611 0.998471861
1785983342.720000029 0.146070856 -0.053015384 0.082142596 0.002455984 -0.001223221 -0.055885742 0.998433401
1785983342.730000019 0.146190116 -0.053555258 0.081569215 0.002632267 -0.001350887 -0.056360453 0.998406103
1785983342.740000010 0.146311097 -0.054060488 0.081155589 0.002567344 -0.001266070 -0.056915355 0.998374904
1785983342.750000000 0.146429466 -0.054548800 0.080847338 0.002832295 -0.001368055 -0.057574383 0.998336264
1785983342.759999990 0.146550927 -0.054998703 0.080448831 0.002818824 -0.001365797 -0.058220736 0.998298820
1785983342.769999981 0.146636723 -0.055453879 0.079985730 0.003050064 -0.001350227 -0.058819310 0.998263073
1785983342.779999971 0.146693980 -0.055944056 0.079513705 0.003114189 -0.001299969 -0.059276113 0.998235921
1785983342.789999962 0.146750374 -0.056457107 0.079036112 0.003276329 -0.001375997 -0.060020751 0.998190804
1785983342.799999952 0.146804279 -0.056999219 0.078540280 0.003335300 -0.001417895 -0.060549850 0.998158595
1785983342.809999943 0.146923322 -0.057538806 0.078032601 0.003335952 -0.001580037 -0.061165798 0.998120794
