# time x y z qx qy qz qw
1785983341.839999914 0.095413179 -0.025780883 0.132249778 0.013873311 -0.172494064 -0.453158047 0.874471905
1785983341.849999905 0.081492879 -0.024920628 0.105499579 0.014663182 -0.172875137 -0.454003730 0.873944959
1785983341.859999895 0.104202988 -0.027150778 0.110999302 0.016236328 -0.173669866 -0.454690644 0.873402300
1785983341.869999886 0.126056316 -0.030600463 0.108344038 0.016980981 -0.174032762 -0.455759903 0.872758360
1785983341.880000114 0.099327196 -0.036281258 0.087972658 0.015646559 -0.173365717 -0.457620179 0.871942249
1785983341.890000105 0.100572282 -0.019276725 0.094292755 0.014997181 -0.172940809 -0.459773924 0.870904415
1785983341.900000095 0.115327452 -0.031986604 0.099009994 0.014985247 -0.172978383 -0.458466699 0.871586030
1785983341.910000086 0.100123126 -0.045239682 0.085311868 0.014704916 -0.172842023 -0.455840540 0.872994159
1785983341.920000076 0.115456192 -0.039296530 0.087780683 0.014737386 -0.172937583 -0.456248271 0.872761661
1785983341.930000067 0.101897049 -0.025835448 0.128623266 0.014885711 -0.172887640 -0.456194267 0.872797267
1785983341.940000057 0.108261812 -0.026366719 0.163999217 0.015140722 -0.173173645 -0.457196042 0.872211802
1785983341.950000048 0.084734526 -0.021624078 0.147397999 0.016182077 -0.173643153 -0.456538276 0.872444267
1785983341.960000038 0.111257197 -0.027837132 0.121722636 0.016570258 -0.173855359 -0.457367286 0.871960381
1785983341.970000029 0.106417685 -0.023501265 0.118810291 0.016151124 -0.173560511 -0.458759535 0.871295345
1785983341.980000019 0.107634530 -0.030042065 0.106724442 0.016391141 -0.173712812 -0.458834057 0.871221268
1785983341.990000010 0.114068382 -0.011576052 0.098884751 0.016257454 -0.173592226 -0.460413913 0.870413961
1785983342.000000000 0.111119221 -0.025459687 0.105489340 0.015886603 -0.173405000 -0.461221826 0.870030315
1785983342.009999990 0.087273952 -0.025980857 0.100174228 0.015033842 -0.172893472 -0.459414469 0.871102851
1785983342.019999981 0.094339186 -0.025634413 0.087612842 0.015346551 -0.173040823 -0.459719518 0.870907183
1785983342.029999971 0.094909505 -0.027908059 0.083306581 0.013723713 -0.172078888 -0.461328183 0.870273993
1785983342.039999962 0.097792722 -0.041325345 0.091723282 0.012966602 -0.171714951 -0.461078249 0.870489914
1785983342.049999952 0.096223729 -0.028627102 0.088219801 0.011438925 -0.170843761 -0.460397617 0.871042820
1785983342.059999943 0.073972450 -0.032582184 0.070313070 0.012177554 -0.171261248 -0.457124504 0.872673180
1785983342.069999933 0.082743826 -0.022950743 0.097551387 0.013255427 -0.171866488 -0.456686914 0.872767590
1785983342.079999924 0.082632250 -0.012412385 0.117582440 0.013242956 -0.171833002 -0.454930001 0.873691443
1785983342.089999914 0.078818534 -0.024971791 0.098351308 0.013845244 -0.172158458 -0.452832865 0.874706906
1785983342.099999905 0.096742281 -0.017767038 0.097834116 0.015569067 -0.173139736 -0.451790101 0.875023394
