# time x y z qx qy qz qw
0.411448002 -0.011384656 0.104408580 0.137598480 0.000833287 0.052779973 -0.147910399 0.987591056
0.423558235 -0.011616357 0.104511003 0.137650863 0.000838730 0.052844871 -0.148028071 0.987569950
0.437548161 -0.011901054 0.104623868 0.137711794 0.000848294 0.052944129 -0.148199037 0.987538984
0.449715853 -0.012150123 0.104716420 0.137768097 0.000855861 0.053012476 -0.148339968 0.987514151
0.468817711 -0.012557289 0.104853833 0.137862832 0.000847238 0.053138457 -0.148582315 0.987470953
0.484484434 -0.012899226 0.104960909 0.137943840 0.000846853 0.053232970 -0.148757171 0.987439536
0.501869440 -0.013296571 0.105074997 0.138033442 0.000856097 0.053375705 -0.149014515 0.987393020
0.512099028 -0.013527518 0.105136008 0.138087230 0.000855507 0.053433476 -0.149123447 0.987373450
0.522039652 -0.013755639 0.105192534 0.138139316 0.000855745 0.053487119 -0.149223426 0.987355440
0.535591125 -0.014079165 0.105270150 0.138212153 0.000865698 0.053605972 -0.149417924 0.987319571
0.545236826 -0.014306407 0.105317590 0.138267333 0.000863059 0.053666044 -0.149514652 0.987301666
0.564840555 -0.014778870 0.105408978 0.138375067 0.000863236 0.053816835 -0.149737294 0.987259715
0.577799320 -0.015096678 0.105458765 0.138444626 0.000862709 0.053900813 -0.149858625 0.987236725
0.591782093 -0.015444585 0.105506195 0.138519782 0.000855574 0.054003357 -0.149995139 0.987210395
0.603503466 -0.015738161 0.105540494 0.138580861 0.000856747 0.054088424 -0.150091284 0.987191124
0.621063709 -0.016188092 0.105582990 0.138676450 0.000832071 0.054239908 -0.150272438 0.987155274
0.630607843 -0.016436913 0.105597929 0.138726311 0.000822263 0.054301807 -0.150362279 0.987138198
0.639943600 -0.016684373 0.105608179 0.138773325 0.000814890 0.054371643 -0.150454763 0.987120269
0.648959160 -0.016924107 0.105615156 0.138820603 0.000802175 0.054417558 -0.150530175 0.987106252
0.658924341 -0.017192199 0.105620831 0.138873481 0.000782830 0.054480417 -0.150618404 0.987089341
0.667440414 -0.017423651 0.105624559 0.138916676 0.000781731 0.054535540 -0.150688943 0.987075532
0.682223082 -0.017830665 0.105626045 0.138992856 0.000776643 0.054629904 -0.150803366 0.987052843
0.692711830 -0.018121558 0.105621732 0.139048647 0.000759464 0.054701021 -0.150885763 0.987036326
0.702944279 -0.018406965 0.105614830 0.139102178 0.000743721 0.054764139 -0.150964399 0.987020813
0.718403339 -0.018846312 0.105596557 0.139182453 0.000718599 0.054884622 -0.151080069 0.986996441
0.728842258 -0.019144209 0.105579224 0.139235906 0.000706787 0.054970117 -0.151157726 0.986979801
0.743987083 -0.019578547 0.105550258 0.139310587 0.000680727 0.055097203 -0.151277128 0.986954439
0.752716541 -0.019829964 0.105532824 0.139354064 0.000662334 0.055169354 -0.151341033 0.986940624
0.778447628 -0.020566789 0.105481225 0.139483316 0.000608258 0.055338291 -0.151502452 0.986906435
0.790875196 -0.020926508 0.105450978 0.139543149 0.000588400 0.055456672 -0.151588312 0.986886617
0.802079439 -0.021248120 0.105421755 0.139598943 0.000564309 0.055557393 -0.151658179 0.986870232
0.816620588 -0.021660750 0.105380261 0.139670386 0.000543616 0.055654524 -0.151733712 0.986853160
0.827303648 -0.021963275 0.105349166 0.139721094 0.000524159 0.055729891 -0.151782959 0.986841344
0.841743946 -0.022372965 0.105306501 0.139788332 0.000490176 0.055867822 -0.151849517 0.986823323
0.855548620 -0.022764940 0.105262039 0.139848637 0.000464612 0.055990672 -0.151910071 0.986807053
0.874050140 -0.023289116 0.105196371 0.139925858 0.000426651 0.056130797 -0.151994181 0.986786157
0.890242338 -0.023743206 0.105133803 0.139994513 0.000378221 0.056262502 -0.152068426 0.986767238
0.904400826 -0.024136137 0.105077646 0.140053052 0.000339754 0.056380058 -0.152120373 0.986752535
0.914438248 -0.024413358 0.105039346 0.140094596 0.000313628 0.056480452 -0.152146733 0.986742738
0.928988695 -0.024812861 0.104984164 0.140155272 0.000261691 0.056648107 -0.152177593 0.986728384
0.945529222 -0.025260756 0.104919289 0.140227232 0.000188617 0.056860385 -0.152232257 0.986707759
0.961833477 -0.025696257 0.104851278 0.140302248 0.000116394 0.057034957 -0.152283004 0.986689864
0.972668648 -0.025982019 0.104801972 0.140352020 0.000080586 0.057133491 -0.152315590 0.986679137
0.982550621 -0.026239404 0.104755890 0.140397587 0.000040708 0.057249551 -0.152349775 0.986667134
