# time x y z qx qy qz qw
0.449715853 -0.000242875 0.000507882 0.000308441 0.000075780 -0.000040535 -0.000013396 0.999999996
0.468817711 -0.001228172 0.002683288 0.001743401 0.000088788 -0.000303585 -0.000308728 0.999999902
0.484484434 -0.002432128 0.005444252 0.003760665 0.000221957 -0.000172030 -0.000470642 0.999999850
0.501869440 -0.004146577 0.009502341 0.006893311 0.000108668 -0.000033031 -0.000702283 0.999999747
0.512099028 -0.005381083 0.012437548 0.009183908 0.000192750 0.000088886 -0.000775239 0.999999677
0.522039652 -0.006823091 0.015839029 0.011825783 0.000236245 0.000175824 -0.000835874 0.999999607
0.535591125 -0.008985710 0.021078014 0.015901000 0.000384437 0.000209163 -0.001042634 0.999999361
0.545236826 -0.010619299 0.025161118 0.019068599 0.000447402 0.000277168 -0.001123966 0.999999230
0.564840555 -0.013979492 0.033740013 0.025728718 0.000430108 0.000409139 -0.001412073 0.999998827
0.577799320 -0.016130955 0.039458092 0.030164015 0.000410709 0.000443264 -0.001584214 0.999998563
0.591782093 -0.018379322 0.045785534 0.035017775 0.000530116 0.000497261 -0.001760729 0.999998186
0.603503466 -0.020192865 0.051168132 0.039125475 0.000576264 0.000547264 -0.001913542 0.999997853
0.621063709 -0.022757086 0.059103582 0.045195448 0.000777733 0.000665607 -0.002313315 0.999996800
0.630607843 -0.024097515 0.063314036 0.048435159 0.000821142 0.000695554 -0.002399281 0.999996543
0.639943600 -0.025430482 0.067418497 0.051609652 0.000852096 0.000722987 -0.002501622 0.999996247
0.648959160 -0.026758633 0.071329830 0.054645686 0.000882713 0.000754999 -0.002588634 0.999995975
0.658924341 -0.028278147 0.075539078 0.057924489 0.000924436 0.000769675 -0.002706434 0.999995614
0.667440414 -0.029627650 0.079015181 0.060648308 0.000959095 0.000796320 -0.002793352 0.999995322
0.682223082 -0.031983698 0.084653530 0.065095928 0.000920670 0.000817445 -0.003004430 0.999994729
0.692711830 -0.033627575 0.088297720 0.067985508 0.000955236 0.000816960 -0.003149012 0.999994252
0.702944279 -0.035232576 0.091566662 0.070582165 0.001007205 0.000844631 -0.003261137 0.999993819
0.718403339 -0.037578860 0.095952474 0.074043145 0.001144532 0.000879306 -0.003495965 0.999992848
0.728842258 -0.039098443 0.098545810 0.076056811 0.001211706 0.000931842 -0.003619779 0.999992280
0.743987083 -0.041209952 0.101817833 0.078554083 0.001306094 0.000850167 -0.003865359 0.999991315
0.752716541 -0.042369533 0.103479119 0.079772256 0.001351786 0.000862928 -0.003968523 0.999990839
0.778447628 -0.045523461 0.107819570 0.082890692 0.001585327 0.001132079 -0.004457538 0.999988168
0.790875196 -0.046828612 0.109619241 0.084133495 0.001601091 0.001166807 -0.004623560 0.999987349
