# time x y z qx qy qz qw
0.411448002 -0.047234370 0.145851281 0.151014483 -0.000003660 -0.000047739 -0.000085323 0.999999995
0.423558235 -0.024402057 0.150868117 0.182380247 -0.000003326 -0.000046330 -0.000076107 0.999999996
0.437548161 -0.022566143 0.141073017 0.204179170 0.000010964 -0.000033094 -0.000069467 0.999999997
0.449715853 -0.017341135 0.113631862 0.222477595 0.000012377 -0.000029991 -0.000072090 0.999999997
0.468817711 -0.040739450 0.084223063 0.205935680 -0.000009125 -0.000038988 -0.000079486 0.999999996
0.484484434 -0.017622620 0.101621684 0.191158952 -0.000012634 -0.000031201 -0.000087569 0.999999996
0.501869440 -0.035310330 0.107478066 0.185479794 -0.000007853 -0.000033792 -0.000096838 0.999999995
0.512099028 -0.026540298 0.090780415 0.186383918 -0.000004460 -0.000038548 -0.000107571 0.999999993
0.522039652 -0.024538741 0.076027707 0.177460639 0.000000370 -0.000046375 -0.000103203 0.999999994
0.535591125 -0.044725213 0.081414936 0.169154413 0.000000167 -0.000044505 -0.000106495 0.999999993
0.545236826 -0.040510769 0.087951351 0.159855522 -0.000003904 -0.000033808 -0.000111196 0.999999993
0.564840555 -0.028145510 0.108627962 0.169790478 -0.000006762 -0.000026530 -0.000111736 0.999999993
0.577799320 -0.033161226 0.123379532 0.198776644 -0.000005784 -0.000021255 -0.000106972 0.999999994
0.591782093 -0.019104658 0.129617752 0.203839160 0.000001562 -0.000011879 -0.000115579 0.999999993
0.603503466 -0.021412042 0.129708484 0.194597490 0.000009582 -0.000009671 -0.000105638 0.999999994
0.621063709 -0.017042711 0.091743286 0.176968741 -0.000007288 -0.000011347 -0.000104087 0.999999994
0.630607843 -0.003047378 0.097699981 0.153790779 -0.000008496 -0.000021679 -0.000119301 0.999999993
0.639943600 -0.019264710 0.099817053 0.167689036 -0.000018651 -0.000035278 -0.000118259 0.999999992
0.648959160 -0.017046168 0.081003634 0.182544392 -0.000030166 -0.000038609 -0.000124175 0.999999991
0.658924341 -0.022147552 0.099378199 0.215589731 -0.000032643 -0.000033966 -0.000132502 0.999999990
0.667440414 -0.018342380 0.106889920 0.228772122 -0.000030010 -0.000026639 -0.000139085 0.999999990
0.682223082 -0.039861282 0.119517148 0.236607200 -0.000021519 -0.000028918 -0.000141209 0.999999989
0.692711830 -0.020292808 0.094873735 0.218368863 -0.000032456 -0.000013557 -0.000151805 0.999999988
0.702944279 -0.021747214 0.082068114 0.215389466 -0.000053740 -0.000001219 -0.000149786 0.999999987
0.718403339 -0.023190570 0.080905429 0.221418496 -0.000066794 -0.000004522 -0.000129082 0.999999989
0.728842258 -0.025341058 0.089964939 0.212024537 -0.000075091 -0.000010519 -0.000115627 0.999999990
0.743987083 -0.044975788 0.091475229 0.194215170 -0.000085917 -0.000005643 -0.000111052 0.999999990
0.752716541 -0.045290200 0.096828563 0.189915962 -0.000086744 -0.000008341 -0.000109279 0.999999990
0.778447628 0.005450943 0.086334109 0.245822444 -0.000079667 -0.000004644 -0.000121244 0.999999989
0.790875196 0.009690240 0.083804326 0.257589131 -0.000073816 0.000001668 -0.000128750 0.999999989
0.802079439 0.004418995 0.087225892 0.244540745 -0.000063942 -0.000001827 -0.000126200 0.999999990
0.816620588 0.012491558 0.107724975 0.226610182 -0.000054394 -0.000009194 -0.000123982 0.999999991
0.827303648 -0.007312522 0.099434623 0.244369126 -0.000055194 -0.000003343 -0.000113892 0.999999992
0.841743946 -0.015884714 0.114571732 0.233397643 -0.000043338 -0.000006492 -0.000112452 0.999999993
0.855548620 -0.033387029 0.114565897 0.247219326 -0.000030450 -0.000001132 -0.000104067 0.999999994
0.874050140 -0.034413365 0.121576744 0.254625300 -0.000016177 0.000004257 -0.000117599 0.999999993
0.890242338 -0.021216118 0.132708135 0.258158842 -0.000032468 0.000021759 -0.000136620 0.999999990
0.904400826 -0.020772588 0.113625869 0.240096742 -0.000023052 0.000010360 -0.000138300 0.999999990
0.914438248 -0.004249829 0.106803044 0.237174355 -0.000024876 0.000007893 -0.000138039 0.999999990
0.928988695 -0.014561582 0.120872668 0.238727336 -0.000005904 0.000007769 -0.000146478 0.999999989
0.945529222 -0.022454870 0.110984603 0.227284481 -0.000008075 -0.000000143 -0.000166543 0.999999986
0.961833477 -0.034549147 0.108947759 0.217417813 -0.000003328 0.000004232 -0.000185187 0.999999983
0.972668648 -0.008288651 0.114536701 0.208829222 0.000015913 -0.000009719 -0.000191526 0.999999981
