# time x y z qx qy qz qw
0.411448002 -0.012272090 0.104594000 0.136400596 0.000956809 0.055265989 -0.147934334 0.987451360
0.423558235 -0.012467733 0.104677011 0.136635481 -0.000035744 0.051506977 -0.149853186 0.987365714
0.437548161 -0.012697239 0.104765761 0.136893456 -0.000018394 0.051613016 -0.149991059 0.987339242
0.449715853 -0.012903353 0.104839712 0.137109116 -0.000004288 0.051685136 -0.150103236 0.987318421
0.468817711 -0.013238344 0.104949200 0.137432927 -0.000002950 0.051820367 -0.150301401 0.987281185
0.484484434 -0.013526413 0.105037369 0.137683147 0.000004619 0.051920640 -0.150439961 0.987254813
0.501869440 -0.013857921 0.105129135 0.137942001 0.000022343 0.052074452 -0.150658461 0.987213391
0.512099028 -0.014057169 0.105180563 0.138086515 0.000026746 0.052135234 -0.150743808 0.987197154
0.522039652 -0.014255243 0.105228348 0.138220970 0.000031744 0.052191924 -0.150821038 0.987182362
0.535591125 -0.014530982 0.105289505 0.138397885 0.000047705 0.052320970 -0.150986694 0.987150207
0.545236826 -0.014731539 0.105329659 0.138521340 0.000049582 0.052383908 -0.151061556 0.987135416
0.564840555 -0.015151074 0.105403993 0.138754539 0.000058406 0.052544699 -0.151241489 0.987099318
0.577799320 -0.015438106 0.105445951 0.138897833 0.000063661 0.052633352 -0.151334019 0.987080412
0.591782093 -0.015755191 0.105486137 0.139045108 0.000062643 0.052741132 -0.151439704 0.987058451
0.603503466 -0.016024817 0.105515705 0.139161305 0.000068885 0.052830258 -0.151509997 0.987042897
0.621063709 -0.016438375 0.105551536 0.139331325 0.000050824 0.052993605 -0.151655108 0.987011856
0.630607843 -0.016668802 0.105566052 0.139418086 0.000044953 0.053059514 -0.151724476 0.986997654
0.639943600 -0.016897246 0.105577420 0.139499049 0.000041118 0.053134905 -0.151797821 0.986982321
0.648959160 -0.017120146 0.105586811 0.139577408 0.000032164 0.053183701 -0.151853785 0.986971084
0.658924341 -0.017369568 0.105596251 0.139662841 0.000016865 0.053250194 -0.151920872 0.986957175
0.667440414 -0.017585311 0.105603919 0.139732522 0.000019188 0.053308391 -0.151973434 0.986945941
0.682223082 -0.017965168 0.105613792 0.139852004 0.000019819 0.053408948 -0.152057251 0.986927594
0.692711830 -0.018237774 0.105616094 0.139936631 0.000006723 0.053484244 -0.152117983 0.986914158
0.702944279 -0.018506186 0.105615925 0.140016925 -0.000004989 0.053551025 -0.152175398 0.986901685
0.718403339 -0.018916694 0.105611558 0.140135279 -0.000025010 0.053682799 -0.152262238 0.986881131
0.728842258 -0.019196261 0.105603874 0.140212979 -0.000033352 0.053775970 -0.152320649 0.986867045
0.743987083 -0.019604765 0.105589200 0.140320853 -0.000054510 0.053915121 -0.152412935 0.986845203
0.752716541 -0.019842466 0.105579054 0.140382493 -0.000070107 0.053994414 -0.152461438 0.986833374
0.778447628 -0.020550322 0.105543380 0.140560684 -0.000114204 0.054174150 -0.152571838 0.986806457
0.790875196 -0.020895435 0.105520833 0.140641798 -0.000130327 0.054303973 -0.152636947 0.986789250
0.802079439 -0.021205998 0.105496638 0.140715552 -0.000151004 0.054414872 -0.152688154 0.986775216
0.816620588 -0.021609036 0.105460277 0.140808805 -0.000166064 0.054519021 -0.152735676 0.986762110
0.827303648 -0.021906202 0.105432328 0.140874341 -0.000181152 0.054598603 -0.152763806 0.986753353
0.841743946 -0.022309186 0.105391819 0.140959934 -0.000210534 0.054748140 -0.152805975 0.986738532
0.855548620 -0.022696812 0.105349597 0.141036235 -0.000230969 0.054878462 -0.152840943 0.986725872
0.874050140 -0.023217794 0.105286794 0.141132243 -0.000261609 0.055026221 -0.152889363 0.986710134
0.890242338 -0.023671292 0.105226124 0.141214751 -0.000303595 0.055164230 -0.152932339 0.986695756
0.904400826 -0.024065407 0.105170725 0.141283466 -0.000336740 0.055288122 -0.152957745 0.986684873
0.914438248 -0.024344489 0.105131375 0.141331147 -0.000359913 0.055395582 -0.152967367 0.986677346
0.928988695 -0.024747550 0.105074103 0.141399105 -0.000408200 0.055574726 -0.152975262 0.986666029
0.945529222 -0.025200845 0.105006191 0.141477212 -0.000477706 0.055800795 -0.153004828 0.986648654
0.961833477 -0.025643202 0.104935426 0.141556079 -0.000545893 0.055986552 -0.153029169 0.986634320
0.972668648 -0.025934291 0.104884984 0.141607268 -0.000578316 0.056090315 -0.153042550 0.986626332
0.982550621 -0.026198196 0.104837236 0.141653210 -0.000616307 0.056213989 -0.153061799 0.986616285
1.000790596 -0.026678907 0.104746064 0.141731064 -0.000717229 0.056476907 -0.153094801 0.986596081
1.016734838 -0.027090525 0.104664465 0.141789956 -0.000806586 0.056678309 -0.153133402 0.986578471
1.028396845 -0.027386053 0.104604826 0.141829367 -0.000868838 0.056823306 -0.153159980 0.986565952
1.041864395 -0.027720395 0.104536242 0.141871964 -0.000906535 0.056931075 -0.153189557 0.986555113
1.054299593 -0.028023695 0.104470898 0.141911861 -0.000959491 0.057060922 -0.153226467 0.986541829
1.064472437 -0.028266637 0.104416398 0.141943510 -0.001015731 0.057183053 -0.153258777 0.986529682
1.080008745 -0.028630136 0.104331361 0.141989173 -0.001089177 0.057360077 -0.153324428 0.986509126
1.090927839 -0.028877094 0.104269231 0.142021419 -0.001120156 0.057437471 -0.153370296 0.986497458
1.104347467 -0.029170198 0.104192263 0.142059420 -0.001147788 0.057538432 -0.153429191 0.986482384
1.116222620 -0.029418466 0.104123799 0.142089662 -0.001171804 0.057627889 -0.153480662 0.986469128
1.128407955 -0.029663153 0.104051795 0.142116831 -0.001192713 0.057716867 -0.153541257 0.986454471
1.144562721 -0.029974771 0.103953997 0.142151634 -0.001223063 0.057820149 -0.153623827 0.986435530
1.152972460 -0.030130232 0.103900530 0.142169549 -0.001257622 0.057920344 -0.153694291 0.986418632
1.170320034 -0.030437436 0.103786427 0.142205107 -0.001302487 0.058059216 -0.153815347 0.986391540
1.181795835 -0.030628805 0.103709844 0.142227382 -0.001325955 0.058136632 -0.153909154 0.986372316
1.194745779 -0.030833144 0.103623603 0.142250305 -0.001358774 0.058220961 -0.154000993 0.986352963
1.217145205 -0.031156183 0.103470637 0.142287293 -0.001383897 0.058316409 -0.154125739 0.986327805
1.227095842 -0.031286449 0.103402074 0.142302736 -0.001398160 0.058343754 -0.154176660 0.986318209
1.239879370 -0.031443462 0.103315154 0.142321190 -0.001421823 0.058396752 -0.154284833 0.986298123
1.255767107 -0.031619861 0.103207048 0.142345224 -0.001463754 0.058462982 -0.154421926 0.986272683
1.275027037 -0.031805787 0.103074908 0.142376678 -0.001498431 0.058515932 -0.154575428 0.986245445
1.285051823 -0.031888933 0.103006191 0.142394887 -0.001523512 0.058533767 -0.154636759 0.986234734
1.311808586 -0.032070512 0.102821562 0.142442599 -0.001597224 0.058524866 -0.154836897 0.986203744
1.332280636 -0.032167046 0.102680298 0.142481247 -0.001633509 0.058503015 -0.154961009 0.986185487
1.341211081 -0.032197222 0.102619700 0.142498341 -0.001642105 0.058502726 -0.154996929 0.986179845
1.364562511 -0.032245798 0.102466451 0.142546366 -0.001680674 0.058477129 -0.155100857 0.986164958
1.379154682 -0.032256098 0.102373007 0.142573742 -0.001703308 0.058451731 -0.155148983 0.986158855
1.389938831 -0.032254144 0.102304767 0.142594405 -0.001721539 0.058432967 -0.155176696 0.986155575
1.402434587 -0.032241173 0.102225390 0.142615943 -0.001742785 0.058410115 -0.155208790 0.986151841
1.414430141 -0.032216755 0.102152219 0.142631764 -0.001753362 0.058385622 -0.155246260 0.986147374
1.432330608 -0.032158617 0.102050648 0.142655386 -0.001796747 0.058310802 -0.155292326 0.986144470
1.443824530 -0.032108005 0.101988981 0.142671206 -0.001827920 0.058252643 -0.155329981 0.986141919
1.453196049 -0.032059090 0.101940811 0.142683384 -0.001853097 0.058218612 -0.155358185 0.986139439
