# time x y z qx qy qz qw
0.382212400 -0.042086259 0.067109101 0.111457748 0.006872006 0.042634511 -0.146412566 0.988280544
0.394629240 -0.042240977 0.067519194 0.111646524 0.006869220 0.042644902 -0.146535417 0.988261908
0.418537378 -0.042538079 0.068262484 0.112005169 0.006886780 0.042669975 -0.146823977 0.988217873
0.428349733 -0.042656743 0.068553178 0.112147062 0.006892024 0.042664150 -0.146914111 0.988204693
0.437768698 -0.042769876 0.068822434 0.112285114 0.006889055 0.042654699 -0.146998991 0.988192499
0.452780008 -0.042948039 0.069231441 0.112508928 0.006882815 0.042641506 -0.147146716 0.988171125
0.477039576 -0.043235965 0.069838084 0.112865257 0.006869652 0.042642976 -0.147440435 0.988127372
0.490067482 -0.043387015 0.070135265 0.113056861 0.006855197 0.042634270 -0.147611057 0.988102374
0.513216496 -0.043661370 0.070628043 0.113393647 0.006851946 0.042612717 -0.147856214 0.988066671
0.525232553 -0.043803540 0.070865597 0.113568897 0.006842551 0.042595319 -0.147964994 0.988051203
0.541109324 -0.043981149 0.071145860 0.113798588 0.006838569 0.042602563 -0.148188364 0.988017441
0.558814526 -0.044174856 0.071433659 0.114057726 0.006820066 0.042601234 -0.148407994 0.987984660
0.570789337 -0.044307551 0.071615933 0.114230796 0.006806073 0.042589704 -0.148515744 0.987969062
0.580592155 -0.044414613 0.071755894 0.114369616 0.006799931 0.042586047 -0.148606728 0.987955581
0.592857122 -0.044545257 0.071919421 0.114544627 0.006789810 0.042571862 -0.148725195 0.987938435
0.602414846 -0.044644906 0.072038613 0.114681533 0.006777388 0.042569034 -0.148806811 0.987926352
0.611014605 -0.044733461 0.072138381 0.114803524 0.006767584 0.042574527 -0.148878626 0.987915363
0.626210690 -0.044885587 0.072295900 0.115019959 0.006754389 0.042569334 -0.149003184 0.987896898
0.636709213 -0.044984696 0.072388863 0.115170225 0.006735616 0.042567978 -0.149096412 0.987883019
0.658824921 -0.045190944 0.072557142 0.115476510 0.006709823 0.042559747 -0.149270130 0.987857315
0.670110703 -0.045291668 0.072628008 0.115631473 0.006695522 0.042548736 -0.149357021 0.987844753
0.680675983 -0.045383132 0.072686660 0.115773901 0.006683670 0.042541854 -0.149434141 0.987833466
0.694560528 -0.045495971 0.072744185 0.115957180 0.006664637 0.042536248 -0.149563014 0.987814332
0.704085112 -0.045570084 0.072776879 0.116082193 0.006641357 0.042520671 -0.149637775 0.987803837
0.720361471 -0.045692327 0.072822196 0.116291283 0.006598542 0.042496825 -0.149759279 0.987786737
0.734224796 -0.045789600 0.072847732 0.116463415 0.006579353 0.042480398 -0.149852238 0.987773473
0.743155003 -0.045848016 0.072859697 0.116575461 0.006560947 0.042469458 -0.149903520 0.987766285
0.758372545 -0.045939220 0.072863966 0.116763976 0.006519787 0.042442567 -0.149991458 0.987754364
0.769716978 -0.046001818 0.072856133 0.116901124 0.006501285 0.042417450 -0.150058067 0.987745448
0.785518408 -0.046080659 0.072831926 0.117090200 0.006464674 0.042368439 -0.150146054 0.987734421
0.801336050 -0.046151254 0.072798597 0.117271081 0.006430183 0.042327229 -0.150229763 0.987723684
0.823013306 -0.046236189 0.072720462 0.117512046 0.006380329 0.042255264 -0.150360373 0.987707215
0.832091331 -0.046268510 0.072682209 0.117608463 0.006359934 0.042227212 -0.150414597 0.987700290
0.843586683 -0.046306025 0.072627967 0.117725068 0.006330764 0.042195835 -0.150479861 0.987691877
0.861821651 -0.046352400 0.072518467 0.117901639 0.006285079 0.042109120 -0.150589850 0.987679106
0.879873753 -0.046393869 0.072402277 0.118065113 0.006246505 0.042047577 -0.150694192 0.987666058
0.889708519 -0.046412667 0.072331196 0.118150958 0.006223850 0.042011304 -0.150753090 0.987658757
0.898294926 -0.046425932 0.072261816 0.118225679 0.006196211 0.041974343 -0.150819775 0.987650321
0.910091639 -0.046440912 0.072158773 0.118326289 0.006156703 0.041910636 -0.150912341 0.987639134
0.924612999 -0.046454958 0.072020756 0.118446330 0.006104177 0.041835003 -0.151024853 0.987625468
0.934258699 -0.046463530 0.071927708 0.118523089 0.006085691 0.041794905 -0.151087737 0.987617662
0.946027517 -0.046470333 0.071800179 0.118612971 0.006044520 0.041724179 -0.151194350 0.987604589
0.961362362 -0.046475003 0.071621140 0.118726864 0.005991859 0.041618126 -0.151322813 0.987589710
0.971333504 -0.046474754 0.071497722 0.118799127 0.005945986 0.041550551 -0.151409934 0.987579480
0.998612165 -0.046460689 0.071149577 0.118990171 0.005837761 0.041389242 -0.151611457 0.987555982
1.011521101 -0.046449685 0.070975037 0.119081488 0.005790862 0.041311029 -0.151700470 0.987545863
1.029371738 -0.046429485 0.070712054 0.119206789 0.005705689 0.041164437 -0.151845632 0.987530171
1.040740728 -0.046412751 0.070535980 0.119284640 0.005638636 0.041059108 -0.151933681 0.987521398
1.053319454 -0.046392768 0.070336781 0.119368923 0.005552609 0.040930695 -0.152019900 0.987513948
1.067234278 -0.046370094 0.070114409 0.119460841 0.005477952 0.040798968 -0.152127929 0.987503179
1.082674503 -0.046344189 0.069864575 0.119563409 0.005384719 0.040654629 -0.152231195 0.987493731
