# time x y z qx qy qz qw
0.428349733 -0.000334111 0.000290776 0.000210045 0.000309594 0.000050514 0.000111587 0.999999945
0.437768698 -0.001236320 0.001080147 0.000854333 0.000536442 0.000098928 0.000151561 0.999999840
0.452780008 -0.003405214 0.003071711 0.002586676 0.000742508 0.000257554 0.000074838 0.999999688
0.477039576 -0.007501172 0.007117614 0.006031270 0.000855210 0.001113332 -0.000045687 0.999999014
0.490067482 -0.009936806 0.009686741 0.008128293 0.001075242 0.001184055 -0.000113316 0.999998715
0.513216496 -0.014537558 0.014786955 0.012174270 0.001310731 0.001802881 -0.000403277 0.999997434
0.525232553 -0.016994606 0.017632032 0.014347121 0.001433080 0.001953274 -0.000470739 0.999996955
0.541109324 -0.020389947 0.021718246 0.017301865 0.001554548 0.002143094 -0.000684916 0.999996261
0.558814526 -0.024118459 0.026410036 0.020463731 0.001800767 0.002298020 -0.000858933 0.999995369
0.570789337 -0.026591436 0.029671912 0.022481460 0.001834777 0.002363615 -0.000970073 0.999995053
0.580592155 -0.028621954 0.032466458 0.024072271 0.001907317 0.002422982 -0.001048492 0.999994696
0.592857122 -0.031120155 0.036077188 0.025948151 0.001991169 0.002519898 -0.001202295 0.999994120
0.602414846 -0.033012088 0.038961269 0.027306676 0.002021444 0.002545624 -0.001282989 0.999993894
0.611014605 -0.034694325 0.041625037 0.028456766 0.002066991 0.002577919 -0.001348213 0.999993632
0.626210690 -0.037552373 0.046297998 0.030330155 0.002214564 0.002598901 -0.001536638 0.999992990
0.636709213 -0.039456361 0.049460778 0.031537176 0.002261098 0.002619671 -0.001631040 0.999992682
0.658824921 -0.043337260 0.055848826 0.033986843 0.002768439 0.002357742 -0.002037442 0.999991313
0.670110703 -0.045251122 0.058934961 0.035223893 0.002816301 0.002402122 -0.002164947 0.999990806
0.680675983 -0.047053286 0.061752222 0.036416873 0.002837770 0.002417001 -0.002261251 0.999990496
0.694560528 -0.049407668 0.065304854 0.038035728 0.002890505 0.002504254 -0.002498907 0.999989565
0.704085112 -0.051021996 0.067647222 0.039190563 0.002917002 0.002538094 -0.002571958 0.999989217
0.720361471 -0.053739292 0.071437902 0.041199847 0.003000957 0.002675081 -0.002886776 0.999987752
0.734224796 -0.055964536 0.074414120 0.042883478 0.003090610 0.002670378 -0.003060231 0.999986976
0.743155003 -0.057402885 0.076234249 0.043965286 0.003117917 0.002708668 -0.003122328 0.999986596
0.758372545 -0.059817315 0.079114934 0.045783267 0.003285545 0.002776901 -0.003328024 0.999985209
0.769716978 -0.061540936 0.081031734 0.047095026 0.003304923 0.002808325 -0.003465769 0.999984589
0.785518408 -0.063808804 0.083382414 0.048839321 0.003440900 0.003072614 -0.003806457 0.999982115
0.801336050 -0.065887822 0.085392612 0.050467871 0.003581550 0.003155480 -0.004073192 0.999980312
0.823013306 -0.068485638 0.087685105 0.052525891 0.003599047 0.003116978 -0.004477619 0.999978641
0.832091331 -0.069495070 0.088491040 0.053328286 0.003633763 0.003144454 -0.004557397 0.999978069
0.843586683 -0.070698326 0.089359554 0.054288475 0.003680574 0.003198525 -0.004697669 0.999977077
0.861821651 -0.072432650 0.090485166 0.055706690 0.003908259 0.003428890 -0.005003325 0.999973967
0.879873753 -0.073952326 0.091324849 0.056991054 0.004135385 0.003445613 -0.005278806 0.999971580
0.889708519 -0.074694911 0.091628710 0.057654216 0.004184733 0.003470216 -0.005363411 0.999970839
0.898294926 -0.075290008 0.091786842 0.058234385 0.004217897 0.003517323 -0.005428115 0.999970186
0.910091639 -0.076025663 0.091871542 0.059033227 0.004281781 0.003574342 -0.005536856 0.999969116
0.924612999 -0.076806676 0.091829617 0.060032125 0.004332991 0.003650595 -0.005678170 0.999967828
0.934258699 -0.077253414 0.091717818 0.060716163 0.004385523 0.003714581 -0.005745841 0.999966977
0.946027517 -0.077734494 0.091491257 0.061585107 0.004465802 0.003765121 -0.005837141 0.999965904
0.961362362 -0.078276190 0.091094309 0.062755863 0.004670469 0.003879629 -0.006045893 0.999963291
0.971333504 -0.078584792 0.090776735 0.063550721 0.004742038 0.003919372 -0.006110306 0.999962407
0.998612165 -0.079383489 0.089809782 0.065837171 0.004951774 0.004334972 -0.006890846 0.999954601
1.011521101 -0.079733669 0.089324740 0.066956553 0.005106276 0.004454947 -0.007033175 0.999952306
1.029371738 -0.080149639 0.088645592 0.068507002 0.005288248 0.004516425 -0.007191198 0.999949960
1.040740728 -0.080374679 0.088213410 0.069498250 0.005364523 0.004556724 -0.007288801 0.999948664
1.053319454 -0.080576829 0.087730577 0.070638534 0.005439246 0.004618998 -0.007390501 0.999947229
1.067234278 -0.080718613 0.087218687 0.071943989 0.005564380 0.004741798 -0.007523493 0.999944974
1.082674503 -0.080772839 0.086721776 0.073434076 0.005585438 0.004930609 -0.007648985 0.999942991
1.101055384 -0.080719009 0.086243357 0.075237321 0.005843968 0.005098251 -0.007945892 0.999938357
1.110209227 -0.080619262 0.086034858 0.076176633 0.005899836 0.005152797 -0.008006924 0.999937263
1.123985052 -0.080337991 0.085751545 0.077693337 0.005934322 0.005261605 -0.008113008 0.999935637
1.134285450 -0.080012337 0.085575384 0.078903135 0.005987236 0.005310459 -0.008173194 0.999934573
1.143204212 -0.079620956 0.085440793 0.080020714 0.006033616 0.005345992 -0.008217650 0.999933741
1.150990248 -0.079191686 0.085322771 0.081054364 0.006061483 0.005360199 -0.008250838 0.999933223
1.159761429 -0.078612517 0.085174412 0.082281453 0.006083390 0.005386258 -0.008305835 0.999932495
1.190361500 -0.076448054 0.084546353 0.086416072 0.006442940 0.005074435 -0.008693618 0.999928577
1.201733589 -0.075616496 0.084254672 0.087890338 0.006511612 0.005101894 -0.008786111 0.999927184
1.214070797 -0.074639021 0.083860464 0.089559928 0.006588640 0.005158231 -0.008864767 0.999925696
1.236833096 -0.072830625 0.083012492 0.092655385 0.006917981 0.005649870 -0.009016693 0.999919457
1.248995781 -0.071861175 0.082472602 0.094297348 0.006955152 0.005647830 -0.009083168 0.999918609
1.276851177 -0.069661170 0.081052974 0.097867161 0.006796301 0.005899301 -0.009283365 0.999916410
1.286828279 -0.068887753 0.080485698 0.099060582 0.006829293 0.005906754 -0.009334842 0.999915662
1.301120520 -0.067740653 0.079558442 0.100666307 0.006889809 0.005972309 -0.009440377 0.999913867
1.319914818 -0.066184481 0.078254111 0.102484065 0.007097344 0.006090773 -0.009670579 0.999909501
1.329764605 -0.065311084 0.077529723 0.103273680 0.007133682 0.006110790 -0.009745508 0.999908393
1.340201855 -0.064299587 0.076703723 0.103925021 0.007181288 0.006144116 -0.009826733 0.999907053
1.356891632 -0.062608604 0.075359103 0.104586240 0.007274004 0.006165338 -0.010085620 0.999903674
1.393510342 -0.059013720 0.072699512 0.105235105 0.007588600 0.006980742 -0.011157587 0.999884589
1.401995897 -0.058171975 0.072133664 0.105221849 0.007614061 0.007002501 -0.011189078 0.999883891
1.421539307 -0.056217148 0.070837071 0.104704308 0.007958579 0.007051680 -0.011388455 0.999878612
1.431275129 -0.055285449 0.070203508 0.104151911 0.007991950 0.007088061 -0.011445738 0.999877434
1.439431429 -0.054530289 0.069675433 0.103461591 0.008031903 0.007114864 -0.011491028 0.999876404
1.452476501 -0.053422450 0.068876657 0.101975912 0.008153673 0.007140305 -0.011612284 0.999873836
1.465468168 -0.052466151 0.068166782 0.100072828 0.008195669 0.007201938 -0.011767464 0.999871237
1.474432230 -0.051915361 0.067723158 0.098499884 0.008216833 0.007247946 -0.011849197 0.999869765
1.484186172 -0.051433437 0.067272767 0.096538023 0.008245063 0.007289894 -0.011932388 0.999868239
1.503221035 -0.050723693 0.066492517 0.092403484 0.008537738 0.007437538 -0.012160708 0.999861944
1.516299486 -0.050400494 0.066048696 0.089411514 0.008613639 0.007484643 -0.012309050 0.999859126
1.530210018 -0.050230130 0.065671437 0.086072077 0.008721222 0.007609551 -0.012491155 0.999854993
1.544154167 -0.050217860 0.065389838 0.082661136 0.008791158 0.007680450 -0.012704298 0.999851152
1.568531036 -0.050425785 0.065047521 0.076954206 0.008509483 0.007999083 -0.013067879 0.999846405
1.581615448 -0.050658071 0.064924240 0.074043797 0.008610135 0.008021650 -0.013198859 0.999843642
1.599974632 -0.051120294 0.064811430 0.070042237 0.008884097 0.007989036 -0.013487743 0.999837651
1.609322786 -0.051433734 0.064763765 0.068019917 0.008918827 0.008031715 -0.013577869 0.999835780
1.618762732 -0.051850006 0.064696752 0.065933906 0.008961846 0.008085306 -0.013662099 0.999833816
1.627204657 -0.052297526 0.064611176 0.064041927 0.008990380 0.008124746 -0.013738815 0.999832189
1.639217854 -0.053025555 0.064455312 0.061404919 0.009071545 0.008183817 -0.013887433 0.999828921
1.651204109 -0.053839519 0.064255148 0.058940078 0.009138172 0.008287973 -0.014029543 0.999825472
1.663014174 -0.054736157 0.064004083 0.056719560 0.009223548 0.008422895 -0.014136431 0.999822055
1.679916382 -0.056108393 0.063593588 0.053926499 0.009392355 0.008441193 -0.014324900 0.999817647
1.687887669 -0.056815396 0.063388823 0.052759074 0.009445202 0.008495785 -0.014377929 0.999815926
1.699623585 -0.057971697 0.063086295 0.051249133 0.009560576 0.008586139 -0.014490419 0.999812433
1.707813263 -0.058852094 0.062885079 0.050348211 0.009596679 0.008624390 -0.014533424 0.999811134
1.717819929 -0.060001353 0.062663032 0.049425991 0.009653258 0.008681438 -0.014611441 0.999808958
1.727224588 -0.061109292 0.062494499 0.048774916 0.009719787 0.008738504 -0.014673920 0.999806902
1.740047932 -0.062588637 0.062344620 0.048223352 0.009891302 0.008829868 -0.014769515 0.999803009
1.753426313 -0.064024465 0.062309652 0.048032537 0.010018955 0.008918965 -0.014919973 0.999798713
1.763219118 -0.065001251 0.062372661 0.048149106 0.010056680 0.008966803 -0.014980872 0.999796996
1.776901722 -0.066244218 0.062563135 0.048650826 0.010106588 0.009081294 -0.015086818 0.999793866
1.785811901 -0.066968076 0.062747881 0.049184013 0.010166164 0.009141148 -0.015142199 0.999791880
1.798433304 -0.067880362 0.063068389 0.050232369 0.010265705 0.009243012 -0.015257824 0.999788168
1.809754372 -0.068587546 0.063400554 0.051453491 0.010323762 0.009257512 -0.015337165 0.999786222
1.822564840 -0.069271687 0.063820520 0.053122368 0.010361733 0.009355106 -0.015410652 0.999783791
1.839820862 -0.070033712 0.064379627 0.055638660 0.010428242 0.009413659 -0.015592781 0.999779726
1.864812613 -0.070953081 0.065111917 0.059396696 0.010501360 0.009650378 -0.015911153 0.999771687
1.881288528 -0.071446112 0.065526967 0.061929958 0.010580512 0.009836739 -0.016120871 0.999765677
1.893263340 -0.071711177 0.065764165 0.063891756 0.010645381 0.009869139 -0.016220383 0.999763059
1.903902292 -0.071878286 0.065916324 0.065759284 0.010720572 0.009909567 -0.016293208 0.999760672
1.920845747 -0.072061143 0.066072202 0.068807763 0.010808077 0.010088193 -0.016441007 0.999755524
1.931165218 -0.072142102 0.066115102 0.070682886 0.010865793 0.010139537 -0.016513211 0.999753189
1.947019577 -0.072223606 0.066107588 0.073554746 0.010934010 0.010310400 -0.016661027 0.999748245
1.963085175 -0.072257536 0.066041616 0.076295015 0.011042965 0.010440574 -0.016871184 0.999742172
1.972034693 -0.072249252 0.065972882 0.077732519 0.011057971 0.010483149 -0.016928652 0.999740589
1.991138220 -0.072179043 0.065788303 0.080588630 0.011105304 0.010640225 -0.017197682 0.999733813
2.009182930 -0.072071784 0.065600473 0.082944240 0.011230677 0.010707331 -0.017382083 0.999728507
2.022898912 -0.071955669 0.065442860 0.084449142 0.011271956 0.010785006 -0.017526262 0.999724690
2.033678055 -0.071831647 0.065307064 0.085427314 0.011307748 0.010812841 -0.017601244 0.999722668
2.046331406 -0.071645974 0.065140696 0.086328705 0.011382131 0.010806822 -0.017688353 0.999720352
2.060602427 -0.071397745 0.064954622 0.087062446 0.011440642 0.010894435 -0.017819546 0.999716403
2.078453302 -0.071039471 0.064736048 0.087661780 0.011529527 0.011041424 -0.017989933 0.999710718
2.089032650 -0.070788962 0.064622948 0.087855705 0.011557156 0.011063893 -0.018061223 0.999708865
2.106570005 -0.070312066 0.064454428 0.087944617 0.011747131 0.011292304 -0.018175841 0.999702019
2.125153303 -0.069774339 0.064312992 0.087797177 0.011651153 0.011340586 -0.018317059 0.999700019
2.137904406 -0.069367010 0.064261604 0.087541525 0.011701617 0.011421666 -0.018388102 0.999697202
2.149386644 -0.068941173 0.064242594 0.087179051 0.011710864 0.011460029 -0.018460543 0.999695319
