# time x y z qx qy qz qw
0.382212400 0.010114660 0.035765749 0.133339205 -0.000027255 -0.000062247 -0.000000575 0.999999998
0.394629240 -0.010395609 0.042074924 0.153859365 -0.000023994 -0.000052897 -0.000005254 0.999999998
0.418537378 -0.026047783 0.034536968 0.147432579 -0.000014422 -0.000042620 -0.000003084 0.999999999
0.428349733 -0.019090816 0.068953942 0.134956740 -0.000007830 -0.000040823 0.000006230 0.999999999
0.437768698 0.001440131 0.089394908 0.142671290 -0.000007451 -0.000052650 0.000009613 0.999999999
0.452780008 -0.013030109 0.066137652 0.140812978 -0.000009206 -0.000061338 0.000005966 0.999999998
0.477039576 -0.031868385 0.040780320 0.178564035 -0.000019470 -0.000051448 0.000011230 0.999999998
0.490067482 -0.033313148 0.021231819 0.182960668 -0.000028501 -0.000066720 0.000008572 0.999999997
0.513216496 -0.043821261 0.049688857 0.154693043 -0.000018079 -0.000076144 0.000022667 0.999999997
0.525232553 -0.028588246 0.059740756 0.143318480 -0.000020660 -0.000086491 0.000036879 0.999999995
0.541109324 -0.049149498 0.086907587 0.125816026 -0.000028260 -0.000071873 0.000033628 0.999999996
0.558814526 -0.034928704 0.080706963 0.133391519 -0.000042951 -0.000081504 0.000021991 0.999999996
0.570789337 -0.059758403 0.066584109 0.161362529 -0.000050077 -0.000088884 0.000020092 0.999999995
0.580592155 -0.073278402 0.079485338 0.166361696 -0.000053363 -0.000085745 0.000005992 0.999999995
0.592857122 -0.070612551 0.102912872 0.178098722 -0.000059195 -0.000107809 -0.000006595 0.999999992
0.602414846 -0.039291211 0.092895298 0.190065946 -0.000067131 -0.000101673 -0.000014483 0.999999992
0.611014605 -0.053253620 0.103988055 0.168423444 -0.000069571 -0.000092300 -0.000018705 0.999999993
0.626210690 -0.059385925 0.127079646 0.179919922 -0.000084092 -0.000088692 -0.000014566 0.999999992
0.636709213 -0.049157397 0.111555767 0.163564643 -0.000089427 -0.000084877 -0.000022134 0.999999992
0.658824921 -0.025850283 0.120943342 0.155866783 -0.000096095 -0.000088035 -0.000033711 0.999999991
0.670110703 -0.038842351 0.110761956 0.144084106 -0.000090523 -0.000099036 -0.000045878 0.999999990
0.680675983 -0.044019931 0.100917062 0.151672729 -0.000091477 -0.000093647 -0.000054390 0.999999990
0.694560528 -0.046872825 0.091672899 0.149895397 -0.000096695 -0.000096501 -0.000066094 0.999999988
0.704085112 -0.030899048 0.085628472 0.146366428 -0.000109633 -0.000108488 -0.000078390 0.999999985
