# time x y z qx qy qz qw
0.580592155 -0.038497888 0.080370002 0.094784796 0.007300096 0.007039548 -0.059728062 0.998163169
0.592857122 -0.039624500 0.081104963 0.094158691 0.007656227 0.007388377 -0.065766235 0.997778330
0.602414846 -0.040773122 0.081824906 0.093494054 0.008126089 0.007829087 -0.071893162 0.997348507
0.611014605 -0.043181570 0.079746397 0.098709556 0.009233690 0.008857651 -0.076921609 0.996955038
0.626210690 -0.050376241 0.079946914 0.102152574 0.010341279 0.009900668 -0.081545847 0.996566761
0.636709213 -0.052066858 0.078881390 0.112111444 0.011170847 0.010676745 -0.086500312 0.996131977
0.658824921 -0.054612834 0.075511019 0.106675313 0.012175249 0.011610502 -0.091267171 0.995684319
0.670110703 -0.056747532 0.077985958 0.114324363 0.013128717 0.012488071 -0.095769562 0.995238602
0.680675983 -0.057210734 0.079120157 0.117266442 0.013967559 0.013249501 -0.100310963 0.994769857
0.694560528 -0.056370191 0.080874296 0.112395955 0.014732429 0.013952119 -0.104516329 0.994316162
0.704085112 -0.056748544 0.080356983 0.116030753 0.015561304 0.014693928 -0.108652762 0.993849340
0.720361471 -0.057448562 0.079210796 0.109779185 0.016565427 0.015584063 -0.112519297 0.993389214
0.734224796 -0.054929642 0.075271931 0.103043819 0.017920958 0.016741578 -0.115702412 0.992981123
0.743155003 -0.050240147 0.072444450 0.104838846 0.018795432 0.017498556 -0.118449632 0.992627935
0.758372545 -0.045843846 0.067000308 0.105457215 0.019492729 0.018098420 -0.120688654 0.992333981
0.769716978 -0.044381902 0.067169598 0.110941042 0.020193869 0.018701351 -0.122887236 0.992038908
0.785518408 -0.045017638 0.067092972 0.107937845 0.020490344 0.018952915 -0.124197515 0.991864865
0.801336050 -0.049956646 0.068026943 0.103133523 0.021002058 0.019365958 -0.124673643 0.991786447
0.823013306 -0.048316766 0.073212313 0.090140748 0.021818557 0.019994109 -0.124974961 0.991718430
0.832091331 -0.050065029 0.077658731 0.099538653 0.022831875 0.020776868 -0.125332078 0.991634458
0.843586683 -0.049355402 0.074073759 0.108346418 0.024396208 0.021907733 -0.124532249 0.991673633
0.861821651 -0.053274714 0.064715445 0.114377098 0.026146255 0.023240507 -0.124119081 0.991650496
0.879873753 -0.051398760 0.065661716 0.114983908 0.027884410 0.024536202 -0.123746344 0.991618514
0.889708519 -0.051281237 0.067006108 0.121541646 0.029293423 0.025563736 -0.123511176 0.991581252
0.898294926 -0.055017381 0.073294645 0.131446148 0.030428762 0.026396827 -0.123628387 0.991510625
0.910091639 -0.058143933 0.075180031 0.135748634 0.031654532 0.027305956 -0.123851545 0.991419775
0.924612999 -0.060039894 0.075758882 0.130356071 0.033112992 0.028409428 -0.124754990 0.991227838
0.934258699 -0.063490192 0.071482353 0.130329061 0.034842331 0.029712128 -0.125496983 0.991036684
0.946027517 -0.064682345 0.070724336 0.135488488 0.037098208 0.031466325 -0.127231816 0.990679392
0.961362362 -0.057411554 0.070203163 0.139111716 0.039397873 0.033240539 -0.128940903 0.990311627
