# time x y z qx qy qz qw
0.382212400 -0.040704647 0.068408500 0.108785449 0.005920086 0.043677480 -0.146215898 0.988270278
0.394629240 -0.040969775 0.068744609 0.109223054 0.005930247 0.043667781 -0.146335608 0.988252927
0.418537378 -0.041462286 0.069352373 0.110019800 0.005977417 0.043642118 -0.146617804 0.988211949
0.428349733 -0.041658404 0.069587109 0.110326728 0.005993614 0.043619829 -0.146705601 0.988199805
0.437768698 -0.041844063 0.069803841 0.110615409 0.006001293 0.043594987 -0.146788248 0.988188581
0.452780008 -0.042133643 0.070132090 0.111064388 0.006012872 0.043556224 -0.146932384 0.988168799
0.477039576 -0.042590878 0.070619869 0.111748282 0.006033749 0.043505982 -0.147220333 0.988128027
0.490067482 -0.042828902 0.070857957 0.112098477 0.006039545 0.043466270 -0.147387886 0.988104761
0.513216496 -0.043246433 0.071240764 0.112689524 0.006069481 0.043399194 -0.147627624 0.988071736
0.525232553 -0.043457226 0.071420254 0.112983870 0.006076299 0.043361330 -0.147733579 0.988057520
0.541109324 -0.043728127 0.071637796 0.113359819 0.006100542 0.043327924 -0.147953490 0.988025930
0.558814526 -0.044018302 0.071852713 0.113767943 0.006112251 0.043285746 -0.148169285 0.987995368
0.570789337 -0.044209085 0.071981495 0.114034197 0.006115936 0.043252940 -0.148274370 0.987981017
0.580592155 -0.044361340 0.072077938 0.114245429 0.006124199 0.043232365 -0.148363204 0.987968530
0.592857122 -0.044545725 0.072187651 0.114506731 0.006132328 0.043197022 -0.148479022 0.987952626
0.602414846 -0.044684698 0.072265227 0.114707903 0.006134043 0.043178150 -0.148558610 0.987941476
0.611014605 -0.044807121 0.072328198 0.114885753 0.006137233 0.043168903 -0.148628633 0.987931328
0.626210690 -0.045015684 0.072423108 0.115196761 0.006147871 0.043136653 -0.148750072 0.987914394
0.636709213 -0.045152810 0.072476819 0.115409561 0.006148117 0.043111922 -0.148841208 0.987901745
0.658824921 -0.045425824 0.072562255 0.115840033 0.006157241 0.043064211 -0.149010279 0.987878281
0.670110703 -0.045555773 0.072592959 0.116054656 0.006160287 0.043033834 -0.149094821 0.987866830
0.680675983 -0.045671555 0.072615026 0.116250712 0.006164188 0.043009610 -0.149169752 0.987856549
