# time x y z qx qy qz qw
0.420215607 0.014056796 0.020364830 0.069160416 -0.002879338 0.045102479 0.020608200 0.998765627
0.438678980 0.013853566 0.021328680 0.068885410 -0.002895145 0.045140784 0.020735667 0.998761213
0.452107191 0.013714021 0.022003513 0.068685918 -0.002918249 0.045165786 0.020830046 0.998758051
0.469973803 0.013539986 0.022865136 0.068415116 -0.002942427 0.045194646 0.020950761 0.998754150
0.479595900 0.013451317 0.023320486 0.068267653 -0.002962071 0.045209010 0.021011717 0.998752161
0.489810944 0.013364587 0.023782340 0.068111996 -0.002971122 0.045219897 0.021088298 0.998750027
0.502566576 0.013264557 0.024340609 0.067921875 -0.002989723 0.045227708 0.021192974 0.998747402
0.512609005 0.013186482 0.024778100 0.067777772 -0.003014056 0.045227340 0.021270196 0.998745704
0.540226460 0.013002961 0.025905987 0.067393613 -0.003062955 0.045228578 0.021494979 0.998740687
0.556294918 0.012911262 0.026525923 0.067182012 -0.003101486 0.045237066 0.021629708 0.998737275
0.570585251 0.012825783 0.027079256 0.067004221 -0.003144166 0.045231425 0.021740002 0.998735002
0.579880476 0.012774376 0.027430264 0.066894254 -0.003166925 0.045226645 0.021806386 0.998733700
0.589172125 0.012728059 0.027771619 0.066789293 -0.003192229 0.045221346 0.021878952 0.998732272
0.598221302 0.012687890 0.028095499 0.066689221 -0.003219329 0.045209963 0.021955399 0.998731023
0.617724895 0.012641578 0.028719913 0.066473353 -0.003265334 0.045157066 0.022177543 0.998728358
0.635883570 0.012576955 0.029334663 0.066286500 -0.003325941 0.045135043 0.022323908 0.998725893
0.650429964 0.012539293 0.029800542 0.066143034 -0.003366781 0.045100494 0.022463653 0.998724183
0.658411026 0.012519624 0.030054248 0.066067556 -0.003398470 0.045088192 0.022538407 0.998722947
0.687057018 0.012462450 0.030929442 0.065802169 -0.003497492 0.045016292 0.022803937 0.998719821
0.702049732 0.012442486 0.031362119 0.065672276 -0.003561774 0.044978829 0.022953822 0.998717848
0.712559700 0.012428853 0.031659626 0.065581918 -0.003609230 0.044948387 0.023053619 0.998716750
0.732749462 0.012405007 0.032210953 0.065413689 -0.003694976 0.044915459 0.023244192 0.998713501
0.742197752 0.012396853 0.032459527 0.065334918 -0.003733226 0.044893323 0.023331697 0.998712313
0.752918959 0.012393088 0.032731241 0.065247681 -0.003773514 0.044854675 0.023451727 0.998711087
0.764984608 0.012397833 0.033021321 0.065149966 -0.003845010 0.044801454 0.023611509 0.998709438
0.791143179 0.012390416 0.033638310 0.064944222 -0.003973234 0.044733450 0.023864780 0.998705965
0.804191351 0.012391182 0.033928730 0.064843328 -0.004031905 0.044696110 0.024002215 0.998704108
0.814527035 0.012393112 0.034149731 0.064763709 -0.004087661 0.044671791 0.024115124 0.998702249
0.823426485 0.012392492 0.034336003 0.064697565 -0.004134232 0.044655779 0.024199604 0.998700730
0.851663351 0.012406738 0.034883818 0.064495555 -0.004288483 0.044553447 0.024510110 0.998697078
0.864199400 0.012418522 0.035108377 0.064410935 -0.004365265 0.044498637 0.024661236 0.998695469
0.872497320 0.012423288 0.035255841 0.064354996 -0.004410530 0.044470879 0.024740236 0.998694552
0.893445253 0.012463405 0.035582343 0.064216685 -0.004577300 0.044315873 0.025077808 0.998692273
0.909631252 0.012473409 0.035836893 0.064111083 -0.004685722 0.044247542 0.025269839 0.998689959
0.920493603 0.012474868 0.036002598 0.064041072 -0.004756439 0.044220941 0.025375824 0.998688116
0.940458536 0.012483079 0.036280065 0.063917087 -0.004889644 0.044156672 0.025600097 0.998684592
0.954323053 0.012488661 0.036457216 0.063831689 -0.004994041 0.044099470 0.025755736 0.998682601
0.969606400 0.012490335 0.036641335 0.063743868 -0.005114438 0.044047926 0.025908724 0.998680310
0.979663134 0.012487839 0.036756558 0.063684028 -0.005190618 0.044019825 0.026004406 0.998678669
0.992064476 0.012481287 0.036891611 0.063610498 -0.005278421 0.043980522 0.026112831 0.998677111
1.004128218 0.012471733 0.037013665 0.063539363 -0.005369570 0.043936856 0.026224429 0.998675623
1.013259649 0.012460620 0.037103636 0.063483726 -0.005436445 0.043911132 0.026291290 0.998674635
1.032530069 0.012442258 0.037271039 0.063375724 -0.005604397 0.043848939 0.026439655 0.998672522
1.053980589 0.012424425 0.037422671 0.063261245 -0.005824523 0.043763275 0.026607309 0.998670567
1.071403742 0.012404438 0.037524686 0.063178056 -0.006016478 0.043709979 0.026731696 0.998668442
1.085065365 0.012375230 0.037598362 0.063113989 -0.006139611 0.043683862 0.026811614 0.998666693
1.094847441 0.012349654 0.037645070 0.063070962 -0.006225876 0.043667868 0.026870791 0.998665267
1.103824854 0.012320265 0.037686801 0.063034354 -0.006293521 0.043656996 0.026915712 0.998664109
1.116163254 0.012281722 0.037731418 0.062988632 -0.006406185 0.043651573 0.026985471 0.998661747
1.124822378 0.012251991 0.037757695 0.062960661 -0.006481703 0.043649157 0.027028841 0.998660193
1.147990942 0.012163968 0.037806327 0.062902126 -0.006680273 0.043662798 0.027147919 0.998655058
1.165181398 0.012103643 0.037812256 0.062869931 -0.006877244 0.043697473 0.027232016 0.998649914
1.174450636 0.012059108 0.037815349 0.062858745 -0.006955089 0.043715074 0.027283763 0.998647193
1.189115763 0.011980829 0.037813987 0.062846771 -0.007067018 0.043749196 0.027345866 0.998643214
1.204005480 0.011903384 0.037794355 0.062845975 -0.007203069 0.043814524 0.027422299 0.998637282
1.216227293 0.011819770 0.037787876 0.062851803 -0.007286061 0.043857829 0.027483271 0.998633103
1.230994463 0.011712479 0.037773533 0.062867508 -0.007385542 0.043902636 0.027552241 0.998628503
1.244341373 0.011614781 0.037746337 0.062889908 -0.007475063 0.043957930 0.027608846 0.998623841
1.252840519 0.011543461 0.037732359 0.062906768 -0.007515049 0.043984236 0.027652478 0.998621175
1.265518188 0.011450538 0.037686197 0.062934182 -0.007614627 0.044044411 0.027724359 0.998615776
1.276489973 0.011359974 0.037648269 0.062960766 -0.007693446 0.044081157 0.027789220 0.998611747
1.294157267 0.011211345 0.037571751 0.063004042 -0.007834535 0.044176106 0.027905432 0.998603214
1.303586960 0.011116452 0.037542740 0.063034409 -0.007895998 0.044202266 0.027954364 0.998600203
1.315715790 0.010994695 0.037497082 0.063075096 -0.007973205 0.044261098 0.028013915 0.998595315
1.336950064 0.010766035 0.037414350 0.063154603 -0.008096588 0.044353151 0.028106091 0.998587648
1.353132486 0.010581374 0.037347068 0.063223364 -0.008185488 0.044420115 0.028194138 0.998581465
1.371679783 0.010360013 0.037264270 0.063307154 -0.008291333 0.044522047 0.028287034 0.998573425
1.380353689 0.010257562 0.037213728 0.063346113 -0.008359566 0.044601556 0.028339104 0.998567831
1.398488045 0.010020620 0.037130179 0.063431984 -0.008468854 0.044710153 0.028437864 0.998559246
1.406448364 0.009917663 0.037087880 0.063469918 -0.008528004 0.044781687 0.028481342 0.998554298
1.418082952 0.009758847 0.037036812 0.063525219 -0.008590569 0.044853609 0.028550798 0.998548551
1.439604044 0.009456732 0.036947018 0.063627103 -0.008693360 0.044972801 0.028676349 0.998538702
1.453637600 0.009254218 0.036892045 0.063694221 -0.008769300 0.045048133 0.028757172 0.998532318
1.465880394 0.009079207 0.036840139 0.063749939 -0.008830826 0.045161398 0.028837122 0.998524354
1.478946447 0.008886781 0.036793496 0.063809376 -0.008894784 0.045246840 0.028926340 0.998517337
1.488868237 0.008737775 0.036764677 0.063854969 -0.008939972 0.045288401 0.028976999 0.998513581
1.511631012 0.008402903 0.036695041 0.063957453 -0.009039195 0.045436647 0.029115576 0.998501922
1.530674458 0.008122567 0.036637111 0.064036694 -0.009136722 0.045586253 0.029247713 0.998490353
1.546467066 0.007886896 0.036599528 0.064099447 -0.009192632 0.045677631 0.029368198 0.998482127
1.562351942 0.007650722 0.036570958 0.064165618 -0.009245678 0.045753510 0.029473457 0.998475062
1.571435452 0.007516142 0.036559568 0.064202776 -0.009276452 0.045781645 0.029533274 0.998471719
1.580467463 0.007386517 0.036543569 0.064237654 -0.009319139 0.045836987 0.029606737 0.998466607
1.592004776 0.007218210 0.036531525 0.064279384 -0.009363768 0.045882723 0.029686541 0.998461719
1.604218245 0.007040870 0.036521576 0.064320600 -0.009417050 0.045935294 0.029777466 0.998456093
1.614849806 0.006891310 0.036510537 0.064355502 -0.009457469 0.045980040 0.029861641 0.998451138
1.626185417 0.006737641 0.036494336 0.064393598 -0.009513211 0.046042170 0.029978071 0.998444256
1.635069132 0.006613978 0.036491113 0.064425377 -0.009550429 0.046059948 0.030039962 0.998441221
1.647893190 0.006440691 0.036482824 0.064468392 -0.009605832 0.046106672 0.030157722 0.998434983
1.657601357 0.006308873 0.036480485 0.064497854 -0.009655434 0.046138561 0.030233244 0.998430747
1.669713020 0.006145269 0.036483785 0.064534407 -0.009698047 0.046161961 0.030319364 0.998426641
1.683409691 0.005966168 0.036485344 0.064573642 -0.009740944 0.046212210 0.030430649 0.998420513
1.697206736 0.005788829 0.036490827 0.064612009 -0.009785648 0.046245945 0.030535769 0.998415305
1.712014914 0.005601375 0.036507869 0.064649468 -0.009818178 0.046270400 0.030633965 0.998410844
1.725218534 0.005438982 0.036523570 0.064680702 -0.009855315 0.046312270 0.030729055 0.998405615
1.741017342 0.005250124 0.036555108 0.064718575 -0.009896289 0.046347092 0.030823076 0.998400695
1.750323534 0.005141924 0.036577854 0.064740279 -0.009903891 0.046360584 0.030871436 0.998398499
1.764145851 0.004985534 0.036614953 0.064772295 -0.009925400 0.046377837 0.030954500 0.998394913
1.776768923 0.004846631 0.036654079 0.064801457 -0.009938437 0.046394112 0.031020939 0.998391965
1.790681124 0.004697033 0.036698769 0.064829420 -0.009935398 0.046417354 0.031090736 0.998388744
1.805611372 0.004542055 0.036751258 0.064858443 -0.009932780 0.046454022 0.031158468 0.998384953
1.818865299 0.004408955 0.036808040 0.064881228 -0.009920520 0.046458487 0.031212416 0.998383182
1.828180552 0.004318831 0.036852797 0.064897223 -0.009922746 0.046464285 0.031256301 0.998381517
1.837635279 0.004230432 0.036901350 0.064914927 -0.009933549 0.046466717 0.031291853 0.998380182
1.852139950 0.004101091 0.036976308 0.064939702 -0.009939060 0.046470340 0.031334334 0.998378627
1.886600733 0.003820014 0.037172370 0.064984818 -0.009898775 0.046465353 0.031418791 0.998376605
1.896225929 0.003748132 0.037231447 0.064995358 -0.009859562 0.046459359 0.031439395 0.998376623
1.907670736 0.003665547 0.037308700 0.065008753 -0.009834591 0.046469062 0.031454033 0.998375957
1.931142807 0.003507615 0.037478001 0.065030713 -0.009754643 0.046461593 0.031467778 0.998376655
1.944524527 0.003421438 0.037583101 0.065040228 -0.009698340 0.046457779 0.031472044 0.998377247
1.955877304 0.003348028 0.037679960 0.065046528 -0.009676797 0.046450463 0.031491241 0.998377191
1.974972486 0.003234969 0.037843577 0.065055040 -0.009610234 0.046442355 0.031493491 0.998378140
1.987550020 0.003166947 0.037956528 0.065060554 -0.009580206 0.046439657 0.031499226 0.998378374
2.002122164 0.003094842 0.038089807 0.065062880 -0.009532951 0.046433987 0.031507081 0.998378842
2.011932135 0.003047476 0.038184036 0.065063494 -0.009518612 0.046430103 0.031523446 0.998378643
2.024245977 0.002990168 0.038303828 0.065061289 -0.009490940 0.046424488 0.031550073 0.998378326
2.035146952 0.002942564 0.038409679 0.065059122 -0.009480125 0.046426812 0.031570129 0.998377687
2.062774897 0.002837426 0.038684631 0.065042163 -0.009389451 0.046409102 0.031579949 0.998379056
2.074759960 0.002799261 0.038807833 0.065034020 -0.009333843 0.046400544 0.031573341 0.998380185
2.083805323 0.002772717 0.038901950 0.065025297 -0.009288413 0.046398293 0.031580117 0.998380499
2.095686674 0.002739309 0.039027556 0.065008697 -0.009245334 0.046389072 0.031584127 0.998381200
2.109115839 0.002706307 0.039169850 0.064989544 -0.009177808 0.046367421 0.031586642 0.998382749
2.138979912 0.002643059 0.039487537 0.064933893 -0.009062335 0.046349123 0.031616872 0.998383697
2.146826267 0.002627823 0.039571451 0.064920463 -0.009053665 0.046345253 0.031636989 0.998383318
2.161432981 0.002604759 0.039729448 0.064890329 -0.008992323 0.046327101 0.031655129 0.998384140
2.183349371 0.002579512 0.039966044 0.064845188 -0.008907693 0.046320897 0.031691890 0.998384020
2.198334455 0.002575428 0.040125372 0.064808656 -0.008761066 0.046312631 0.031673301 0.998386291
2.216390848 0.002571149 0.040319268 0.064777783 -0.008690090 0.046316760 0.031689610 0.998386202
2.224657774 0.002571251 0.040407566 0.064764494 -0.008656572 0.046316124 0.031696719 0.998386297
2.233663559 0.002573441 0.040502367 0.064750421 -0.008621425 0.046308232 0.031711932 0.998386484
2.247352362 0.002582460 0.040643621 0.064730486 -0.008557646 0.046309315 0.031717147 0.998386817
2.268725157 0.002604521 0.040858718 0.064694560 -0.008417299 0.046327095 0.031714051 0.998387284
2.280024052 0.002617641 0.040970692 0.064679378 -0.008368944 0.046333753 0.031723428 0.998387083
2.295984268 0.002646079 0.041128356 0.064656628 -0.008215199 0.046332414 0.031690117 0.998389480
2.304716349 0.002660320 0.041213811 0.064646564 -0.008188432 0.046329436 0.031703241 0.998389422
2.323696852 0.002696884 0.041398861 0.064626417 -0.008139963 0.046319587 0.031741432 0.998389062
2.340308666 0.002734058 0.041556094 0.064606058 -0.008099150 0.046318266 0.031758301 0.998388918
2.364558458 0.002800706 0.041773555 0.064580848 -0.007965839 0.046309418 0.031769677 0.998390039
2.378205061 0.002840937 0.041889231 0.064571480 -0.007906884 0.046300555 0.031789252 0.998390296
