# time x y z qx qy qz qw
0.469973803 -0.000016744 0.000218435 0.000388757 0.000431750 0.000286869 0.000042186 0.999999865
0.479595900 -0.000045247 0.000566523 0.001002187 0.000502723 0.000360129 0.000069644 0.999999806
0.489810944 -0.000113534 0.001178459 0.002033529 0.000628665 0.000430787 0.000086525 0.999999706
0.502566576 -0.000262845 0.002243582 0.003732617 0.000812870 0.000535600 0.000096310 0.999999522
0.512609005 -0.000429951 0.003295150 0.005339300 0.000924696 0.000621127 0.000131481 0.999999371
0.540226460 -0.000948620 0.006475434 0.009991228 0.003042983 0.001725393 -0.000115238 0.999993875
0.556294918 -0.001268170 0.008381550 0.012731524 0.003209534 0.001974249 -0.000100943 0.999992895
0.570585251 -0.001585691 0.010154382 0.015277491 0.003375317 0.002172347 -0.000059137 0.999991942
0.579880476 -0.001811621 0.011368118 0.016987567 0.003471529 0.002244288 -0.000041915 0.999991455
0.589172125 -0.002058342 0.012644968 0.018742686 0.003541705 0.002326063 -0.000025288 0.999991023
0.598221302 -0.002309924 0.013937416 0.020472582 0.003651244 0.002400722 -0.000017200 0.999990452
0.617724895 -0.002850303 0.016686490 0.024029237 0.004116243 0.002937031 0.000043485 0.999987214
0.635883570 -0.003304370 0.019158987 0.027018576 0.004366329 0.003171678 0.000144002 0.999985427
0.650429964 -0.003604444 0.021114213 0.029198738 0.004608256 0.003347087 0.000199479 0.999983760
0.658411026 -0.003735108 0.022193926 0.030336127 0.004674867 0.003402587 0.000207768 0.999983262
0.687057018 -0.004101053 0.025918739 0.034241563 0.006352104 0.004464701 -0.000006307 0.999969858
0.702049732 -0.004223393 0.027748927 0.036108123 0.006612093 0.004720884 0.000034839 0.999966996
0.712559700 -0.004231913 0.029037550 0.037317076 0.006712247 0.004800888 0.000050456 0.999965947
0.732749462 -0.004118801 0.031495652 0.039422043 0.007249257 0.005019553 0.000098616 0.999961121
0.742197752 -0.004014775 0.032645791 0.040316740 0.007339780 0.005091631 0.000124228 0.999960093
0.752918959 -0.003839124 0.033976591 0.041291148 0.007406290 0.005189002 0.000139172 0.999959100
0.764984608 -0.003595655 0.035462326 0.042342337 0.007502296 0.005304173 0.000144646 0.999957779
0.791143179 -0.003054536 0.038504874 0.044411952 0.008215662 0.005565289 0.000143501 0.999950754
0.804191351 -0.002799397 0.039884655 0.045349635 0.008328790 0.005676602 0.000176839 0.999949187
0.814527035 -0.002603808 0.040867593 0.046083110 0.008402308 0.005732413 0.000197227 0.999948250
0.823426485 -0.002442057 0.041626969 0.046731106 0.008465680 0.005778213 0.000203044 0.999947450
0.851663351 -0.001976189 0.043755724 0.048833881 0.008596779 0.006080969 -0.000151372 0.999944546
0.864199400 -0.001786269 0.044540023 0.049794257 0.008690706 0.006205032 -0.000129828 0.999942975
0.872497320 -0.001660380 0.044965440 0.050471931 0.008735790 0.006243516 -0.000119995 0.999942343
0.893445253 -0.001358159 0.045895496 0.052251290 0.008887463 0.006675163 -0.000084217 0.999938222
0.909631252 -0.001166815 0.046512826 0.053646788 0.009015800 0.006877782 -0.000064999 0.999935702
0.920493603 -0.001081784 0.046878454 0.054638145 0.009109369 0.006978367 -0.000030512 0.999934158
0.940458536 -0.000982739 0.047538969 0.056551329 0.009315679 0.007164051 0.000029448 0.999930944
0.954323053 -0.000951851 0.048033469 0.057924468 0.009465950 0.007312511 0.000100162 0.999928454
0.969606400 -0.000964931 0.048665403 0.059502564 0.009686330 0.007491083 0.000159571 0.999925014
0.979663134 -0.001002190 0.049165192 0.060581436 0.009778229 0.007568456 0.000195534 0.999923530
0.992064476 -0.001090718 0.049895273 0.061965708 0.009945992 0.007695057 0.000289216 0.999920887
1.004128218 -0.001208449 0.050720872 0.063359193 0.010111723 0.007857888 0.000390795 0.999917924
1.013259649 -0.001308636 0.051434888 0.064457605 0.010189737 0.007940248 0.000435972 0.999916462
1.032530069 -0.001513835 0.053052339 0.066797255 0.010592254 0.008313165 0.000683604 0.999909110
1.053980589 -0.001680436 0.054848648 0.069334804 0.010840666 0.008823744 0.001276218 0.999901492
1.071403742 -0.001710182 0.056250254 0.071324924 0.011123866 0.009197966 0.001474156 0.999894736
