# time x y z qx qy qz qw
0.420215607 0.043497799 0.062645635 0.096098816 -0.000021153 -0.000021848 -0.000303249 0.999999954
0.438678980 0.004866987 0.083234380 0.086627005 -0.000008871 -0.000027860 -0.000312351 0.999999951
0.452107191 0.012637734 0.071106370 0.079317293 -0.000013250 -0.000027589 -0.000314667 0.999999950
0.469973803 -0.024053526 0.064285498 0.109905389 -0.000028517 -0.000037928 -0.000343261 0.999999940
0.479595900 0.010823715 0.039335294 0.109880013 -0.000031699 -0.000042221 -0.000354104 0.999999936
0.489810944 0.002893914 0.031615635 0.114027228 -0.000028385 -0.000055889 -0.000358866 0.999999934
0.502566576 0.014944597 0.032785313 0.131623662 -0.000028925 -0.000069152 -0.000357160 0.999999933
0.512609005 0.033135439 0.048873043 0.101855921 -0.000019353 -0.000075002 -0.000355839 0.999999934
0.540226460 0.011361342 0.049288119 0.077180783 -0.000017980 -0.000040636 -0.000369741 0.999999931
0.556294918 0.001506407 0.048482656 0.091405794 -0.000029150 -0.000035749 -0.000377554 0.999999928
0.570585251 -0.020014243 0.030473203 0.094558975 -0.000024339 -0.000049271 -0.000376524 0.999999928
0.579880476 -0.020511243 0.047768495 0.120504442 -0.000017635 -0.000047975 -0.000384365 0.999999925
0.589172125 -0.024522262 0.046152910 0.101999591 -0.000004474 -0.000050473 -0.000397524 0.999999920
0.598221302 -0.025820577 0.014459989 0.105930907 0.000019276 -0.000042967 -0.000404782 0.999999917
0.617724895 -0.026025797 0.003406239 0.121357828 0.000028602 -0.000043451 -0.000415131 0.999999912
0.635883570 -0.003680611 0.017302190 0.113321406 0.000036059 -0.000041472 -0.000423129 0.999999909
0.650429964 0.045509697 0.007958912 0.129187449 0.000052622 -0.000045775 -0.000436395 0.999999902
0.658411026 0.016013223 0.008034038 0.101511997 0.000060437 -0.000045990 -0.000437486 0.999999901
0.687057018 0.030923851 0.034159171 0.118778122 0.000074352 -0.000046849 -0.000471440 0.999999885
0.702049732 0.039120818 0.025917810 0.104303864 0.000073833 -0.000049806 -0.000507120 0.999999867
0.712559700 0.029727483 0.032038501 0.105653422 0.000073339 -0.000057066 -0.000519481 0.999999861
0.732749462 0.009165417 0.016389035 0.067248716 0.000079478 -0.000050164 -0.000541524 0.999999849
0.742197752 0.006786912 0.023313989 0.085179562 0.000108690 -0.000062625 -0.000542471 0.999999845
0.752918959 -0.014804711 0.020092836 0.082585835 0.000116080 -0.000061747 -0.000548009 0.999999841
0.764984608 -0.012913693 0.002619353 0.082700945 0.000126954 -0.000063727 -0.000571895 0.999999826
0.791143179 0.007753336 0.019181087 0.106356869 0.000137088 -0.000052980 -0.000590297 0.999999815
0.804191351 0.001114331 0.017684443 0.085534638 0.000148011 -0.000056352 -0.000590469 0.999999813
0.814527035 -0.012132414 0.026654638 0.075054344 0.000148164 -0.000058009 -0.000581282 0.999999818
0.823426485 0.005555396 0.034397278 0.068957065 0.000144542 -0.000055985 -0.000596427 0.999999810
0.851663351 -0.019790484 0.027644062 0.093422836 0.000141543 -0.000066429 -0.000613289 0.999999800
0.864199400 0.012611149 0.039304817 0.073002382 0.000134710 -0.000058224 -0.000640637 0.999999784
0.872497320 0.008802708 0.044988323 0.066354218 0.000138638 -0.000056172 -0.000661961 0.999999770
0.893445253 0.019471019 0.049604437 0.089078660 0.000132111 -0.000063309 -0.000666216 0.999999767
0.909631252 0.004047708 0.034581958 0.066367245 0.000127054 -0.000077769 -0.000660368 0.999999771
0.920493603 0.018179094 0.047343321 0.072978625 0.000121808 -0.000068348 -0.000656431 0.999999775
0.940458536 0.034777748 0.067564628 0.072477226 0.000097261 -0.000063392 -0.000645826 0.999999785
0.954323053 0.058490929 0.065758959 0.079753100 0.000093219 -0.000080418 -0.000655553 0.999999778
0.969606400 0.024535633 0.074907591 0.095539533 0.000076260 -0.000073783 -0.000664234 0.999999774
0.979663134 0.033415334 0.056313901 0.109715495 0.000067985 -0.000079335 -0.000675708 0.999999766
0.992064476 0.041472658 0.092053837 0.108550519 0.000068802 -0.000080157 -0.000673294 0.999999768
1.004128218 0.029851883 0.075815992 0.085142569 0.000071862 -0.000074930 -0.000672326 0.999999769
1.013259649 0.022062151 0.075341411 0.096055606 0.000063808 -0.000066160 -0.000660617 0.999999778
1.032530069 0.009937556 0.040213880 0.101848362 0.000030029 -0.000072294 -0.000668045 0.999999774
1.053980589 0.000815556 0.048430734 0.127662726 0.000015719 -0.000078607 -0.000667161 0.999999774
1.071403742 -0.001257764 0.076825931 0.123208118 0.000015465 -0.000077210 -0.000670893 0.999999772
1.085065365 0.008069052 0.064054580 0.123737479 0.000017898 -0.000065854 -0.000671893 0.999999772
1.094847441 0.015594335 0.053542803 0.126343696 0.000020603 -0.000066013 -0.000673249 0.999999771
1.103824854 0.018912215 0.066534776 0.122472369 0.000014503 -0.000074491 -0.000681368 0.999999765
1.116163254 -0.014494486 0.037965021 0.102968458 0.000010748 -0.000071165 -0.000690922 0.999999759
1.124822378 -0.005663455 0.045369802 0.095806913 0.000012787 -0.000076328 -0.000686347 0.999999761
1.147990942 0.003681839 0.053426475 0.113930743 0.000020796 -0.000095984 -0.000691272 0.999999756
1.165181398 -0.001882542 0.059917401 0.117936648 0.000009114 -0.000093239 -0.000712193 0.999999742
1.174450636 0.004217533 0.033449306 0.116615330 0.000021350 -0.000092519 -0.000711732 0.999999742
1.189115763 0.020249308 0.024720382 0.108753252 0.000023637 -0.000094974 -0.000742470 0.999999720
1.204005480 0.050708298 0.012911456 0.085112113 0.000027095 -0.000087054 -0.000749953 0.999999715
1.216227293 0.061165538 0.021521335 0.092368842 0.000018255 -0.000085803 -0.000755093 0.999999711
1.230994463 0.031682763 0.009710778 0.090973283 -0.000004675 -0.000081260 -0.000770478 0.999999700
1.244341373 0.043664068 0.022083058 0.085810268 0.000001397 -0.000082191 -0.000797289 0.999999679
1.252840519 0.022060907 0.028419057 0.072135406 0.000004950 -0.000071767 -0.000799927 0.999999677
