# time x y z qx qy qz qw
0.598221302 0.007184380 0.021856526 0.068581793 0.020581020 0.019551225 0.000645247 0.999596796
0.617724895 0.009795912 0.025808145 0.058543246 0.022653592 0.021522154 0.000252248 0.999511655
0.635883570 0.010624604 0.026305225 0.055674323 0.024492633 0.023259317 0.000233814 0.999429367
0.650429964 0.013516968 0.026807114 0.056967995 0.026226111 0.024871102 0.000289956 0.999346554
0.658411026 0.013245516 0.027696362 0.075151343 0.027791111 0.026374624 0.000240610 0.999265718
0.687057018 0.012171139 0.028433254 0.056270763 0.029598252 0.028107484 0.000205621 0.999166588
0.702049732 0.010134654 0.032078044 0.056219934 0.031297910 0.029696672 0.000487591 0.999068722
0.712559700 0.011242066 0.034658391 0.066366215 0.032917229 0.031228668 0.000784516 0.998969775
0.732749462 0.011771421 0.034637833 0.055203582 0.034491052 0.032687570 0.001120511 0.998869678
0.742197752 0.011302476 0.034505547 0.060944208 0.035951905 0.034059310 0.001317262 0.998772090
0.752918959 0.011064510 0.032712510 0.061986013 0.037201278 0.035212459 0.001567351 0.998685982
0.764984608 0.012891952 0.029554209 0.065123647 0.038162505 0.036134773 0.001820058 0.998616337
0.791143179 0.011203843 0.029598829 0.047472407 0.039493344 0.037319036 0.002909757 0.998518452
0.804191351 0.008222604 0.024053772 0.056319278 0.040898898 0.038611970 0.003738405 0.998409946
0.814527035 0.009687852 0.024819984 0.062446007 0.042044243 0.039616484 0.004925979 0.998317860
0.823426485 0.012602188 0.026534814 0.079813105 0.042976438 0.040473311 0.006151894 0.998236991
0.851663351 0.011866641 0.028235633 0.063525491 0.043894609 0.041312424 0.007261497 0.998155207
0.864199400 0.011087233 0.029885341 0.067053092 0.045190220 0.042472692 0.008379537 0.998039928
0.872497320 0.007994405 0.035493072 0.073847802 0.046404764 0.043547895 0.009780464 0.997925108
0.893445253 0.008226235 0.037857698 0.068524297 0.048190395 0.045070084 0.011876132 0.997750135
0.909631252 0.001069358 0.039248531 0.077556001 0.050135266 0.046800486 0.013747014 0.997550595
0.920493603 0.002358079 0.040850769 0.089407634 0.052271985 0.048676099 0.016104565 0.997315858
0.940458536 0.005128618 0.044039731 0.079369118 0.054428876 0.050580614 0.018392328 0.997066107
0.954323053 0.005101411 0.045754347 0.081645743 0.056407135 0.052296966 0.020580530 0.996824811
0.969606400 0.004065618 0.046832965 0.077308116 0.058442982 0.054043594 0.022909913 0.996563517
0.979663134 0.002984425 0.045531925 0.082534874 0.060422810 0.055747959 0.025198516 0.996296283
0.992064476 0.003159386 0.044902721 0.082719767 0.062166082 0.057206455 0.027692322 0.996040127
1.004128218 0.005938509 0.044566611 0.083368565 0.063912334 0.058661409 0.030052581 0.995776529
1.013259649 0.008143239 0.043113410 0.087177981 0.065926909 0.060363695 0.032770604 0.995457661
1.032530069 0.014694885 0.039623452 0.078245033 0.067346786 0.061509673 0.035296069 0.995206088
1.053980589 0.019802968 0.032061900 0.078057577 0.068711152 0.062682585 0.037260115 0.994968017
1.071403742 0.019961835 0.028232072 0.073912226 0.069552702 0.063421932 0.038411503 0.994818896
1.085065365 0.027272278 0.026461863 0.064899448 0.070340455 0.064080571 0.039431171 0.994681398
1.094847441 0.027879901 0.025648876 0.066168896 0.070854032 0.064540285 0.039797182 0.994600645
1.103824854 0.025681764 0.021791461 0.071723280 0.071268218 0.064908910 0.040143613 0.994533139
1.116163254 0.026762817 0.018445870 0.068473576 0.071880466 0.065475139 0.040508306 0.994437168
1.124822378 0.028643283 0.019025931 0.077571238 0.071879912 0.065654720 0.039602721 0.994461845
1.147990942 0.033578437 0.025051180 0.058760240 0.071695245 0.065504198 0.039331317 0.994495872
1.165181398 0.030837884 0.022060439 0.049560272 0.071778883 0.065672725 0.038730055 0.994502322
1.174450636 0.026873206 0.021768506 0.051036496 0.071946858 0.065967310 0.038030837 0.994497672
1.189115763 0.028215755 0.017971293 0.046124924 0.071993740 0.066138072 0.037177900 0.994515189
1.204005480 0.025877367 0.018616023 0.044000528 0.072483670 0.066749941 0.036393864 0.994467722
1.216227293 0.022110233 0.024008017 0.041506552 0.072996729 0.067399890 0.035688558 0.994411916
1.230994463 0.021263607 0.024547030 0.040346545 0.073808515 0.068286535 0.035445280 0.994300198
1.244341373 0.017062903 0.024888644 0.044708337 0.074791822 0.069375853 0.034991310 0.994167382
1.252840519 0.018326962 0.026283334 0.052827543 0.075863529 0.070497992 0.034776758 0.994014756
1.265518188 0.019800908 0.026853889 0.049658614 0.076901533 0.071580972 0.034641263 0.993862315
1.276489973 0.020090458 0.027215360 0.052424008 0.077814107 0.072530928 0.034509243 0.993726995
1.294157267 0.020336997 0.025460620 0.044248580 0.078883121 0.073566423 0.034740572 0.993558517
1.303586960 0.018788845 0.024473328 0.051436558 0.079981497 0.074692531 0.034736841 0.993386802
1.315715790 0.019453848 0.026416920 0.057206152 0.081018326 0.075780280 0.034702820 0.993221574
