# time x y z qx qy qz qw
0.420215607 0.014086425 0.020765685 0.066887062 -0.003534892 0.046030821 0.020839664 0.998716364
0.438678980 0.013891533 0.021666617 0.066933499 -0.003550745 0.046055829 0.020965896 0.998712513
0.452107191 0.013755618 0.022299952 0.066949267 -0.003573857 0.046071510 0.021059348 0.998709741
0.469973803 0.013583863 0.023118642 0.066942355 -0.003598212 0.046085774 0.021178555 0.998706475
0.479595900 0.013495766 0.023548784 0.066926755 -0.003617835 0.046093723 0.021238850 0.998704757
0.489810944 0.013405319 0.023996219 0.066904590 -0.003626969 0.046095457 0.021314395 0.998703034
0.502566576 0.013297592 0.024542532 0.066871865 -0.003645612 0.046091515 0.021417700 0.998700938
0.512609005 0.013216267 0.024963892 0.066843696 -0.003669838 0.046083891 0.021494165 0.998699559
0.540226460 0.013009661 0.026081769 0.066750038 -0.003718285 0.046059912 0.021715864 0.998695689
0.556294918 0.012901514 0.026704248 0.066688134 -0.003756406 0.046052871 0.021848566 0.998692977
0.570585251 0.012811659 0.027241380 0.066630100 -0.003798661 0.046037220 0.021957705 0.998691145
0.579880476 0.012757506 0.027583196 0.066592982 -0.003821119 0.046025775 0.022023267 0.998690144
0.589172125 0.012707688 0.027917747 0.066557592 -0.003846074 0.046013391 0.022094902 0.998689036
0.598221302 0.012663787 0.028236118 0.066522328 -0.003872777 0.045994824 0.022170376 0.998688116
0.617724895 0.012581351 0.028898951 0.066442909 -0.003916917 0.045916063 0.022388393 0.998686704
0.635883570 0.012514566 0.029496457 0.066367610 -0.003976564 0.045881027 0.022533008 0.998684826
0.650429964 0.012467540 0.029960331 0.066308531 -0.004016248 0.045833241 0.022670762 0.998683744
0.658411026 0.012445685 0.030207954 0.066276786 -0.004047384 0.045814675 0.022744595 0.998682791
0.687057018 0.012384751 0.031056586 0.066156902 -0.004144395 0.045721488 0.023006963 0.998680654
0.702049732 0.012359549 0.031479824 0.066097437 -0.004207386 0.045671537 0.023154864 0.998679258
0.712559700 0.012345451 0.031767081 0.066053934 -0.004254031 0.045633196 0.023253411 0.998678524
0.732749462 0.012325505 0.032293699 0.065970436 -0.004338404 0.045586505 0.023441768 0.998675890
0.742197752 0.012318623 0.032531343 0.065929436 -0.004375969 0.045557680 0.023528153 0.998675010
0.752918959 0.012312729 0.032793953 0.065883960 -0.004415313 0.045510312 0.023646640 0.998674198
0.764984608 0.012308763 0.033079677 0.065832214 -0.004485480 0.045445307 0.023804230 0.998673101
0.791143179 0.012308847 0.033665782 0.065718599 -0.004612008 0.045359721 0.024054355 0.998670423
0.804191351 0.012313105 0.033941975 0.065660893 -0.004669813 0.045313456 0.024190137 0.998668975
0.814527035 0.012318307 0.034152367 0.065614173 -0.004724898 0.045282104 0.024301720 0.998667429
0.823426485 0.012323086 0.034327606 0.065575253 -0.004770985 0.045260739 0.024385203 0.998666143
0.851663351 0.012345290 0.034851271 0.065454246 -0.004923504 0.045139179 0.024691919 0.998663368
0.864199400 0.012357435 0.035068933 0.065403233 -0.004999433 0.045075032 0.024841126 0.998662188
0.872497320 0.012365944 0.035208736 0.065368384 -0.005044235 0.045042012 0.024919056 0.998661511
0.893445253 0.012388418 0.035542917 0.065282034 -0.005209302 0.044867041 0.025252176 0.998660172
0.909631252 0.012403636 0.035785629 0.065212566 -0.005316861 0.044788208 0.025441957 0.998658327
0.920493603 0.012412313 0.035940528 0.065164914 -0.005387082 0.044755439 0.025546629 0.998656748
0.940458536 0.012428344 0.036204489 0.065078713 -0.005519364 0.044678764 0.025768129 0.998653768
0.954323053 0.012437324 0.036374440 0.065017128 -0.005623130 0.044612720 0.025921744 0.998652166
0.969606400 0.012444709 0.036548885 0.064952903 -0.005742901 0.044552101 0.026072638 0.998650263
0.979663134 0.012447413 0.036656476 0.064907099 -0.005818693 0.044518432 0.026167030 0.998648856
0.992064476 0.012448705 0.036781147 0.064849158 -0.005906046 0.044472680 0.026273961 0.998647575
1.004128218 0.012445528 0.036894677 0.064791589 -0.005996773 0.044422626 0.026384051 0.998646359
1.013259649 0.012440396 0.036977201 0.064745086 -0.006063337 0.044392377 0.026449845 0.998645562
1.032530069 0.012428838 0.037135045 0.064653739 -0.006230685 0.044319972 0.026595717 0.998643874
1.053980589 0.012407817 0.037286369 0.064554054 -0.006450228 0.044221926 0.026760238 0.998642431
1.071403742 0.012379206 0.037394011 0.064480088 -0.006641764 0.044158234 0.026881937 0.998640726
1.085065365 0.012349638 0.037466617 0.064420596 -0.006764538 0.044125153 0.026960106 0.998639256
1.094847441 0.012324296 0.037512015 0.064379636 -0.006850539 0.044104426 0.027018098 0.998638019
1.103824854 0.012298358 0.037549422 0.064343691 -0.006917926 0.044089730 0.027062090 0.998637012
