# time x y z qx qy qz qw
1609059013.301214218 28.893442966 -3.468030899 -5.384671710 0.794777751 -0.537200057 -0.244616238 0.141093307
1609059013.302429199 28.890864531 -3.468147025 -5.373150628 0.795177701 -0.536813181 -0.243880286 0.141585449
1609059013.326694250 28.842122437 -3.466641627 -5.141395707 0.797253625 -0.529239270 -0.245442341 0.155082269
1609059013.328027964 28.839706046 -3.466290303 -5.128421427 0.797694966 -0.528682940 -0.244746768 0.155807928
1609059013.351470232 28.800537753 -3.461531207 -4.902798089 0.808376855 -0.515762730 -0.227938076 0.168996747
1609059013.352427006 28.799127024 -3.461438670 -4.893714037 0.808726201 -0.515426461 -0.227246986 0.169281724
1609059013.376681566 28.765359122 -3.458940319 -4.665545867 0.816505788 -0.510782619 -0.202437288 0.177309218
1609059013.377373934 28.764476144 -3.458824280 -4.659060861 0.816661527 -0.510698420 -0.201859481 0.177493166
1609059013.401241302 28.736271661 -3.454634487 -4.437213089 0.823044233 -0.506595314 -0.177534145 0.185582883
1609059013.401954412 28.735519032 -3.454464901 -4.430616376 0.823186068 -0.506498737 -0.176937969 0.185786656
1609059013.451690674 28.694389299 -3.441606385 -3.976743867 0.833222110 -0.498278542 -0.126265619 0.203755744
1609059013.452510834 28.693933801 -3.441319932 -3.969336495 0.833334110 -0.498166374 -0.125570405 0.204001467
1609059013.478341103 28.682896425 -3.432487385 -3.737549758 0.836989264 -0.494168011 -0.099144261 0.213113502
1609059013.501637697 28.679408424 -3.423544470 -3.530265737 0.839629116 -0.490487043 -0.074873705 0.220996235
1609059013.502452850 28.679412439 -3.423189271 -3.523030372 0.839705699 -0.490370925 -0.074150956 0.221206534
1609059013.526731730 28.682268560 -3.412468323 -3.308661429 0.841732999 -0.486331351 -0.048099179 0.229464257
1609059013.527410507 28.682448911 -3.412122818 -3.302681970 0.841779882 -0.486231324 -0.047496463 0.229629735
1609059013.551682234 28.691354476 -3.399372135 -3.089994158 0.843132845 -0.481716660 -0.020716885 0.238006043
1609059013.553397179 28.692210316 -3.398329937 -3.075015761 0.843216622 -0.481424206 -0.019097082 0.238436076
1609059013.577053547 28.706289237 -3.382962581 -2.869499486 0.844066937 -0.476243590 0.007443629 0.246348618
1609059013.577428102 28.706551233 -3.382678834 -2.866257893 0.844081391 -0.476176249 0.007770039 0.246419178
