# time x y z qx qy qz qw
1609059013.501637697 28.937656827 -3.020044006 1.337744349 0.867447540 -0.486045756 0.071573941 -0.078558639
1609059013.502452850 28.932604477 -3.022870053 1.398413944 0.862218034 -0.500013758 0.047736931 -0.065478923
1609059013.526731730 28.930277202 -3.030394924 1.381137995 0.854679320 -0.511035088 0.053107265 -0.074471581
1609059013.527410507 28.928077589 -3.032641728 1.417933419 0.846461518 -0.520101293 0.065141901 -0.093563221
1609059013.551682234 28.923426841 -3.038844258 1.401133895 0.838619706 -0.526710125 0.078390340 -0.114666419
1609059013.553397179 28.920754104 -3.046070971 1.425977470 0.831393365 -0.531869362 0.090091812 -0.133354866
1609059013.577053547 28.916860720 -3.056201589 1.409309190 0.824747451 -0.535502399 0.101146292 -0.150990893
1609059013.577428102 28.913401715 -3.052805834 1.446394438 0.818572187 -0.537950768 0.111756056 -0.167508595
1609059013.626677513 28.904941029 -3.058072815 1.389982707 0.812616895 -0.539843757 0.121635853 -0.182831120
1609059013.627493620 28.914703996 -3.053480785 1.449270107 0.810629134 -0.533406957 0.132090158 -0.202261257
1609059013.651251078 28.956593964 -3.052839572 1.450282931 0.808188306 -0.525882502 0.143183576 -0.223109211
1609059013.652441740 28.965778016 -3.054565142 1.493488076 0.805151599 -0.519549405 0.152572859 -0.241910813
1609059013.676730633 28.966813331 -3.060353043 1.485120561 0.801591658 -0.514291532 0.161132046 -0.258827156
1609059013.677418947 28.973507718 -3.057150546 1.519728114 0.796966129 -0.511295093 0.168496295 -0.273918446
1609059013.701673508 28.963982892 -3.057382127 1.501221766 0.792219279 -0.509383566 0.174837029 -0.286965171
1609059013.702464104 28.968021282 -3.051784145 1.536812565 0.787625383 -0.507881799 0.180027585 -0.298818343
1609059013.726709843 28.965537315 -3.056065674 1.517594743 0.783362569 -0.506540475 0.184932729 -0.309127351
1609059013.727855444 28.969780791 -3.053301333 1.548723786 0.779584740 -0.505681473 0.188967086 -0.317530031
1609059013.751206160 28.967262474 -3.080642524 1.541330816 0.770870449 -0.516452740 0.189195553 -0.321310380
1609059013.752588749 29.022304179 -3.107053678 1.599488605 0.762699104 -0.527363251 0.188806144 -0.323311489
1609059013.801708221 29.018269366 -3.131999978 1.544538275 0.756035919 -0.536422175 0.188460725 -0.324258376
1609059013.802488804 29.022423224 -3.126162806 1.602995338 0.750090542 -0.544397781 0.186581938 -0.325856432
1609059013.827366114 29.017197055 -3.126716752 1.605118811 0.745427378 -0.550638274 0.185494464 -0.326691473
1609059013.851657391 29.011026573 -3.130543149 1.594075802 0.742260461 -0.555315027 0.184435344 -0.326585721
1609059013.852463961 29.010926902 -3.121202642 1.643255504 0.738757334 -0.560416931 0.181339970 -0.327545845
1609059013.878476620 29.002056438 -3.128877796 1.618807787 0.736561553 -0.563667520 0.180267100 -0.327505386
1609059013.878805161 29.006730920 -3.121717004 1.661841386 0.734057415 -0.567267493 0.177269998 -0.328546268
1609059013.901676416 28.998939043 -3.128213487 1.639644615 0.731875085 -0.570038280 0.176291998 -0.329144879
1609059013.902382851 29.004744565 -3.121123544 1.679684851 0.730202514 -0.573218864 0.174455684 -0.328313323
1609059013.926205158 28.993327792 -3.134486175 1.629040429 0.735946297 -0.562450452 0.178794976 -0.331760296
1609059013.927292585 28.944900871 -3.086407847 1.648846888 0.742406431 -0.550751417 0.182195832 -0.335127209
1609059013.976624250 28.926871232 -3.095044771 1.551774622 0.746273678 -0.541784812 0.185755853 -0.339174848
1609059013.977473259 28.922026690 -3.079655397 1.534336836 0.743867679 -0.551745703 0.186863529 -0.327596668
1609059014.001658678 28.805791730 -3.100995488 1.441957935 0.739209533 -0.564063717 0.186975261 -0.316925293
1609059014.002406120 28.797316172 -3.095009062 1.428820856 0.737083997 -0.572678101 0.186742085 -0.306389241
1609059014.026619196 28.782570727 -3.099784964 1.357163522 0.735644126 -0.579531097 0.186820687 -0.296764989
1609059014.027431965 28.789680600 -3.092019977 1.358104820 0.736238344 -0.582774273 0.187405619 -0.288455165
1609059014.051801682 28.787767813 -3.108629282 1.291799453 0.736928978 -0.585196791 0.187494593 -0.281649026
1609059014.052491665 28.795920346 -3.101023979 1.306788266 0.737996463 -0.586858198 0.188139234 -0.274885986
1609059014.076707125 28.785111321 -3.111867054 1.254422616 0.738750794 -0.588600925 0.189388139 -0.268194608
1609059014.077957392 28.792293949 -3.092319756 1.248630769 0.738673839 -0.589760798 0.189054108 -0.266085898
1609059014.101238728 28.783752152 -3.065910684 1.178911211 0.736991632 -0.593155203 0.188503577 -0.263584219
1609059014.101926565 28.808104887 -3.049180418 1.185431353 0.735812842 -0.596285249 0.187665230 -0.260394171
1609059014.151663780 28.785010876 -3.072911299 1.064609592 0.734491233 -0.599083998 0.186741963 -0.258357179
1609059014.152452946 28.820597872 -3.053934331 1.253283200 0.741726212 -0.584251794 0.189359298 -0.269509043
1609059014.176192760 28.927490708 -3.051714951 1.313656026 0.749239870 -0.567443126 0.192285917 -0.282265906
1609059014.177406549 28.958582815 -3.049396823 1.415545838 0.753343772 -0.553458187 0.194815544 -0.296991751
1609059014.201645374 28.955804153 -3.066805103 1.417440800 0.755634657 -0.542395727 0.196765738 -0.310010298
1609059014.202740192 28.972379557 -3.054430059 1.477381187 0.757096222 -0.531734219 0.197769444 -0.323961847
1609059014.226705551 28.973696658 -3.067700200 1.450756410 0.757888515 -0.522536860 0.199611776 -0.335731094
1609059014.227756023 28.992146920 -3.055349894 1.504919228 0.757550316 -0.514919885 0.199908141 -0.347867455
1609059014.251700878 28.986541825 -3.070006688 1.471488048 0.759155185 -0.506303151 0.200449661 -0.356595651
1609059014.252465963 29.003275362 -3.076969473 1.527935276 0.760405894 -0.498717533 0.199774619 -0.364902452
1609059014.276201963 28.991340596 -3.097061518 1.463135325 0.760585811 -0.497911985 0.199753590 -0.365638322
1609059014.276944160 29.018003869 -3.072586843 1.559714618 0.762053298 -0.486558603 0.199404741 -0.377853472
1609059014.326626301 28.988997164 -3.098113805 1.445687914 0.761850616 -0.481993341 0.200241705 -0.383626534
1609059014.327404737 29.012597264 -3.074175937 1.512659050 0.761737932 -0.477935153 0.200115634 -0.388956354
1609059014.352396965 29.008255171 -3.071239950 1.497207717 0.762147813 -0.474305387 0.200405208 -0.392431986
1609059014.376613855 29.002788228 -3.076655012 1.468685867 0.762155071 -0.471021614 0.201706230 -0.395692917
1609059014.377999306 29.022822975 -3.062689093 1.527957200 0.760661741 -0.470489833 0.202158494 -0.398954854
1609059014.401483536 28.996463630 -3.069698329 1.492563479 0.759870935 -0.469791213 0.203020491 -0.400842935
1609059014.402589798 29.005997403 -3.052408893 1.550637560 0.758631730 -0.469099299 0.203324602 -0.403835180
1609059014.426669359 28.989547904 -3.064180638 1.504896470 0.756556068 -0.469848943 0.204510365 -0.406251642
1609059014.427453995 29.004448568 -3.044357050 1.565596809 0.755247292 -0.472151996 0.206874472 -0.404817209
1609059014.451242447 28.987661320 -3.111838184 1.541632010 0.750227003 -0.485081283 0.206019507 -0.399263768
1609059014.452485561 29.060739934 -3.129335076 1.639895855 0.745019525 -0.498216217 0.204113483 -0.393781912
1609059014.501642704 29.033683390 -3.180929848 1.531369489 0.740056004 -0.509459794 0.203190444 -0.389206210
1609059014.502378464 29.042341243 -3.161714238 1.581413370 0.732936306 -0.531217580 0.200753119 -0.374580351
1609059014.526675940 28.946413591 -3.189822526 1.517821306 0.725579065 -0.551700939 0.198118395 -0.360430571
1609059014.527339935 28.945721618 -3.173310287 1.565132402 0.720423322 -0.567915062 0.195469513 -0.346777146
1609059014.551737547 28.918625526 -3.194042387 1.511546403 0.716372746 -0.581544769 0.192337433 -0.334098911
1609059014.552378893 28.924958042 -3.176265118 1.564387151 0.713968429 -0.592107189 0.189511408 -0.322092512
1609059014.576636314 28.902231913 -3.195674599 1.509319051 0.711629031 -0.601793625 0.186655209 -0.310786724
1609059014.577972174 28.916831519 -3.179800396 1.557151476 0.710310410 -0.609532685 0.184094483 -0.300063742
1609059014.601651430 28.895839053 -3.198561196 1.504056298 0.709053329 -0.616236010 0.181758642 -0.290620636
1609059014.602385283 28.908425399 -3.175916113 1.546653643 0.707856615 -0.621757292 0.178827958 -0.283509160
1609059014.626202345 28.887293506 -3.158957387 1.464686062 0.711895376 -0.617706291 0.179728221 -0.281676549
1609059014.626911163 28.868228559 -3.097115291 1.514762249 0.717191312 -0.612532813 0.180261612 -0.279187979
1609059014.676630735 28.826407175 -3.127757105 1.344003182 0.720397491 -0.609313023 0.180321396 -0.277937564
1609059014.677962303 28.851661620 -3.098682064 1.397007286 0.723782278 -0.605836375 0.180798109 -0.276429999
1609059014.701652050 28.835347306 -3.113080635 1.340601416 0.726263668 -0.603226709 0.181563384 -0.275124262
1609059014.702329874 28.855847436 -3.087665615 1.397691735 0.728781561 -0.600761115 0.182283653 -0.273379205
1609059014.726676464 28.837999677 -3.105583572 1.338031443 0.730429557 -0.598753987 0.183681168 -0.272447341
1609059014.727538109 28.860175915 -3.087754536 1.394210879 0.731617761 -0.597700412 0.184794672 -0.270814696
