# time x y z qx qy qz qw
1609059013.301214218 28.915154441 -3.197079490 -5.310718917 0.762947401 -0.515665562 -0.363344880 0.141353421
1609059013.302429199 28.912172694 -3.196038225 -5.298451988 0.763504147 -0.515174551 -0.362792616 0.141556054
1609059013.326694250 28.858158312 -3.172349550 -5.053242951 0.766680023 -0.504604423 -0.368641994 0.147238580
1609059013.328027964 28.855478622 -3.170891660 -5.039742664 0.767190041 -0.504526732 -0.367681066 0.147250978
1609059013.351470232 28.811204408 -3.146229813 -4.804743997 0.776725634 -0.503646816 -0.348210649 0.147602568
1609059013.352427006 28.809519885 -3.145259317 -4.795236353 0.777090362 -0.503563374 -0.347509920 0.147618946
1609059013.376681566 28.769123102 -3.120683921 -4.556806441 0.787426610 -0.500790318 -0.327940409 0.147049245
1609059013.377373934 28.768040718 -3.119980799 -4.550068434 0.787651553 -0.500755659 -0.327425069 0.147110929
1609059013.401241302 28.733124610 -3.095778450 -4.320415611 0.797284334 -0.497946900 -0.307815248 0.147092994
1609059013.401954412 28.732155518 -3.095053995 -4.313629004 0.797509217 -0.497893464 -0.307281668 0.147170394
1609059013.451690674 28.675781932 -3.045479156 -3.851528734 0.815891208 -0.491665128 -0.265863996 0.147997546
1609059013.452510834 28.675038034 -3.044667248 -3.844088666 0.816118710 -0.491594311 -0.265236994 0.148103415
1609059013.478341103 28.654992395 -3.019466690 -3.612758235 0.824737675 -0.488480825 -0.242638535 0.149401448
1609059013.501637697 28.642510751 -2.997082531 -3.409003652 0.832214666 -0.485538553 -0.221413808 0.150489165
1609059013.502452850 28.642167677 -2.996301321 -3.401957438 0.832423737 -0.485458627 -0.220745995 0.150571741
1609059013.526731730 28.634697684 -2.973067738 -3.194616542 0.840005626 -0.482010629 -0.197313130 0.152065214
1609059013.527410507 28.634562696 -2.972415609 -3.188890564 0.840166917 -0.481940340 -0.196746569 0.152131019
1609059013.551682234 28.632181448 -2.948927937 -2.986626526 0.847508751 -0.477975093 -0.171981998 0.153918547
1609059013.553397179 28.632186065 -2.947245160 -2.972521779 0.847919593 -0.477757448 -0.170438512 0.154048364
1609059013.577053547 28.634368266 -2.923639161 -2.780424982 0.854803941 -0.473272855 -0.145146558 0.155741783
1609059013.577428102 28.634432575 -2.923257479 -2.777421553 0.854879653 -0.473228043 -0.144826473 0.155760363
1609059013.626677513 28.649452209 -2.870952241 -2.392696572 0.867862115 -0.461808018 -0.089518072 0.159797428
