# time x y z qx qy qz qw
1609059608.140735388 -0.057429028 0.328031257 -0.169280547 0.999994000 -0.000672853 0.001900861 -0.002816809
1609059608.141503811 -0.057429028 0.328031257 -0.169280547 0.999994000 -0.000672853 0.001900861 -0.002816809
1609059608.165765524 -0.032511594 0.266034659 -0.170236418 0.999993252 -0.000683330 0.001970264 -0.003024404
1609059608.190798521 -0.026800063 0.277946453 -0.150400750 0.999992990 -0.000656328 0.002205687 -0.002953583
1609059608.191529274 -0.013513455 0.268890007 -0.138130418 0.999992989 -0.000668520 0.002234526 -0.002929409
1609059608.215798855 -0.028890664 0.272942078 -0.165700604 0.999993064 -0.000652075 0.002295717 -0.002859425
1609059608.216492176 -0.028890664 0.272942078 -0.165700604 0.999993064 -0.000652075 0.002295717 -0.002859425
1609059608.265765429 -0.048666658 0.272012283 -0.235515845 0.999991138 -0.000819525 0.002362546 -0.003386766
1609059608.266587257 -0.048666658 0.272012283 -0.235515845 0.999991138 -0.000819525 0.002362546 -0.003386766
1609059608.290801287 -0.083347902 0.244837339 -0.269088937 0.999990583 -0.000796672 0.002478256 -0.003472462
1609059608.291204453 -0.083347902 0.244837339 -0.269088937 0.999990583 -0.000796672 0.002478256 -0.003472462
1609059608.316511154 -0.057755494 0.268728075 -0.274457855 0.999990987 -0.000787244 0.002524118 -0.003321833
1609059608.340780735 -0.050675662 0.281798773 -0.302107309 0.999990454 -0.000839061 0.002596069 -0.003412975
1609059608.365818739 -0.087947018 0.288617130 -0.296849451 0.999989343 -0.000817600 0.002665524 -0.003679781
1609059608.366569996 -0.087947018 0.288617130 -0.296849451 0.999989343 -0.000817600 0.002665524 -0.003679781
1609059608.390556812 -0.080574862 0.288228714 -0.364660750 0.999988950 -0.000825268 0.002741654 -0.003728634
1609059608.391506195 -0.081872540 0.291788176 -0.358371144 0.999988923 -0.000809537 0.002767033 -0.003720488
1609059608.440732956 -0.210489727 0.323944806 -0.376770242 0.999988123 -0.000961050 0.002869147 -0.003820832
1609059608.441472769 -0.210489727 0.323944806 -0.376770242 0.999988123 -0.000961050 0.002869147 -0.003820832
1609059608.465778351 -0.204694954 0.334081891 -0.379918257 0.999986487 -0.001005679 0.003034381 -0.004099520
1609059608.466014862 -0.204694954 0.334081891 -0.379918257 0.999986487 -0.001005679 0.003034381 -0.004099520
1609059608.491489172 -0.276251845 0.326109350 -0.352729993 0.999985640 -0.001031583 0.003164600 -0.004200097
1609059608.515798569 -0.284664004 0.330250356 -0.343148410 0.999985933 -0.000937288 0.003250686 -0.004085169
1609059608.540819645 -0.200980467 0.283830634 -0.403903848 0.999985154 -0.000974694 0.003246014 -0.004266723
1609059608.541570902 -0.200980467 0.283830634 -0.403903848 0.999985154 -0.000974694 0.003246014 -0.004266723
1609059608.565843582 -0.248102925 0.275066300 -0.417787698 0.999983873 -0.000929559 0.003266475 -0.004551923
1609059608.615763664 -0.245773332 0.281095019 -0.344863031 0.999983559 -0.000827636 0.003407536 -0.004537190
1609059608.616497755 -0.240932116 0.272205757 -0.348424510 0.999983459 -0.000854770 0.003418065 -0.004546242
1609059608.640780926 -0.254433328 0.262976058 -0.368950788 0.999982663 -0.000962150 0.003479525 -0.004651902
