# time x y z qx qy qz qw
1609060335.034309864 0.037514025 -0.024088901 -0.008632288 0.999999677 -0.000227759 -0.000119299 -0.000761202
1609060335.035263062 0.040495699 -0.026001588 -0.009318077 0.999999670 -0.000224032 -0.000116634 -0.000772246
1609060335.059491634 0.150415007 -0.102504486 -0.029389314 0.999997281 0.001072331 0.001834508 -0.000960757
1609060335.060302973 0.155237329 -0.106001090 -0.030150467 0.999997289 0.001066807 0.001834940 -0.000957553
1609060335.084662676 0.341605914 -0.229669346 -0.063403821 0.999998883 0.000590452 0.001257951 -0.000550138
1609060335.134334564 0.916680198 -0.518678484 -0.176808920 0.999994567 -0.001058292 0.002987537 0.000906284
1609060335.134765148 0.922620971 -0.521172693 -0.178003770 0.999994571 -0.001056054 0.002988302 0.000902043
1609060335.160244703 1.314818762 -0.679226186 -0.263845232 0.999995094 -0.001362201 0.002469243 0.001363335
1609060335.184501410 1.758042176 -0.864819717 -0.381017601 0.999992952 -0.001988078 0.002669384 0.001737327
1609060335.185391903 1.775456654 -0.872555856 -0.386091964 0.999992932 -0.001993372 0.002672270 0.001738183
1609060335.209653378 2.265356210 -1.127946676 -0.520852147 0.999992418 -0.002387573 0.002446215 0.001865590
1609060335.210299253 2.278809235 -1.135933564 -0.524345593 0.999992432 -0.002384729 0.002446957 0.001860575
1609060335.234525681 2.826933185 -1.443188907 -0.678542975 0.999995755 -0.001872289 0.002074746 0.000824784
1609060335.235270023 2.845111106 -1.452865298 -0.683993817 0.999995764 -0.001868290 0.002076817 0.000817202
1609060335.259555817 3.454358762 -1.801245754 -0.877369215 0.999988900 -0.001319150 0.003315600 0.003076621
1609060335.259768009 3.459823036 -1.804575114 -0.879194302 0.999988897 -0.001320292 0.003315895 0.003076947
1609060335.309292555 4.726743779 -2.569986771 -1.313979464 0.999958734 0.001071100 0.003193402 0.008437079
1609060335.309743166 4.738194461 -2.576845100 -1.318015635 0.999958729 0.001068330 0.003193178 0.008438126
1609060335.335212946 5.407852881 -2.980217516 -1.564188733 0.999959488 0.001034276 0.003500913 0.008227728
1609060335.359487057 6.086234502 -3.395438190 -1.831641156 0.999961640 -0.000185681 0.003320520 0.008102987
1609060335.360263109 6.108522508 -3.409217833 -1.840691566 0.999961687 -0.000182588 0.003321325 0.008096873
1609060335.384567976 6.816743001 -3.859598974 -2.135420289 0.999969554 0.001158456 0.002164166 0.007407171
1609060335.385275841 6.837666476 -3.873264879 -2.144331505 0.999969540 0.001153349 0.002164906 0.007409538
1609060335.409524202 7.567567139 -4.345582968 -2.461341288 0.999976809 0.001222536 0.002082077 0.006368085
1609060335.410343409 7.592670481 -4.361680663 -2.472449709 0.999976842 0.001225990 0.002082818 0.006361926
1609060335.434520721 8.340384682 -4.842258013 -2.809560378 0.999952283 0.003246717 0.003881674 0.008356030
1609060335.435257673 8.363384525 -4.857073104 -2.820118023 0.999952329 0.003250514 0.003883589 0.008348106
1609060335.484271049 9.851592361 -5.819943056 -3.505982912 0.999948663 0.001540809 0.006575434 0.007553822
1609060335.484766960 9.866230072 -5.829458533 -3.512757837 0.999948652 0.001537807 0.006576736 0.007554809
1609060335.509534121 10.596544537 -6.305852943 -3.856837069 0.999941655 -0.000341641 0.006039672 0.008949407
1609060335.510228872 10.617011923 -6.319250078 -3.866649283 0.999941642 -0.000345902 0.006039044 0.008951110
1609060335.534517050 11.329940871 -6.788590614 -4.213881295 0.999936301 -0.000141754 0.006064538 0.009518119
1609060335.535279512 11.352270739 -6.803365595 -4.224899473 0.999936227 -0.000121960 0.006066638 0.009524905
1609060335.559543848 12.059330612 -7.271331326 -4.577835202 0.999912659 0.000661449 0.007530952 0.010840720
1609060335.560288906 12.080944369 -7.285628873 -4.588737116 0.999913135 0.000661544 0.007560962 0.010775710
1609060335.584553242 12.780499810 -7.746865551 -4.944345283 0.999883539 0.001250435 0.010094176 0.011377739
1609060335.585319757 12.802451542 -7.761291032 -4.955591864 0.999883515 0.001235310 0.010096152 0.011379683
1609060335.609513044 13.487863295 -8.213615045 -5.310014295 0.999862326 0.002513454 0.011421421 0.011771226
1609060335.609725714 13.493814910 -8.217564333 -5.313130137 0.999862353 0.002515173 0.011421885 0.011768130
1609060335.659482956 14.834891852 -9.103054746 -6.018455939 0.999917125 0.005101397 0.010215445 0.005946738
1609060335.659716606 14.840946855 -9.107032544 -6.021658113 0.999917130 0.005100266 0.010215260 0.005947227
1609060335.684583902 15.473431970 -9.523142041 -6.360082037 0.999937313 0.002500806 0.009177041 0.005907502
1609060335.685230732 15.489567425 -9.533774988 -6.368827260 0.999937302 0.002492046 0.009180587 0.005907537
1609060335.709486008 16.082436059 -9.924515011 -6.692845486 0.999915077 0.001328518 0.010616812 0.007440255
1609060335.710251093 16.100738957 -9.936591473 -6.702973483 0.999915037 0.001329742 0.010627262 0.007430428
1609060335.734561682 16.668235636 -10.314720084 -7.021140627 0.999914484 0.001398535 0.010697186 0.007391766
1609060335.735289097 16.684795778 -10.325852626 -7.030544497 0.999914487 0.001387371 0.010702363 0.007386064
1609060335.759473085 17.223510959 -10.684744712 -7.339060251 0.999919520 0.000546146 0.010232518 0.007480067
1609060335.760180712 17.238923135 -10.694916744 -7.347965730 0.999919325 0.000541538 0.010259376 0.007469640
1609060335.784540415 17.756472804 -11.034016187 -7.649887352 0.999925642 -0.000135924 0.010562111 0.006093778
1609060335.834474325 18.764815340 -11.639394340 -8.219963079 0.999911977 0.003165655 0.012330087 0.003739662
1609060335.834742546 18.770083817 -11.642280309 -8.222826242 0.999911887 0.003167326 0.012337416 0.003738183
1609060335.860176802 19.254458241 -11.905181102 -8.486603991 0.999915200 0.002538731 0.011980448 0.004429089
1609060335.884517193 19.691308473 -12.132498593 -8.724652006 0.999916020 0.002885335 0.011761542 0.004614618
1609060335.885298252 19.704944715 -12.139347630 -8.732122135 0.999914972 0.002934178 0.011820588 0.004659677
1609060335.909567833 20.114906222 -12.340807765 -8.958938242 0.999910904 0.002192747 0.012546607 0.003994708
1609060335.910239935 20.125879598 -12.346080820 -8.965061743 0.999911276 0.002202353 0.012520077 0.003979547
1609060335.934558392 20.512524853 -12.521205169 -9.180197776 0.999920833 0.000019677 0.012408853 0.002085235
1609060335.935245037 20.523141572 -12.525702052 -9.186091055 0.999920402 0.000056233 0.012441669 0.002095478
1609060335.959504128 20.889348456 -12.664486488 -9.386123212 0.999919224 -0.001567432 0.012226059 0.003100276
1609060336.009263754 21.606523939 -12.852506431 -9.723359358 0.999851608 -0.003357027 0.015701037 0.006242508
1609060336.009724617 21.613029901 -12.853748438 -9.725990254 0.999851226 -0.003360123 0.015724834 0.006242118
