# time x y z qx qy qz qw
1609060335.185391903 28.807370854 -2.221670494 1.454924584 0.752289989 -0.561624259 0.238542064 -0.248466592
1609060335.209653378 28.794524305 -2.233890254 1.665197183 0.700915565 -0.597287046 0.249608727 -0.299434532
1609060335.210299253 28.793128479 -2.235553863 1.705852438 0.681109665 -0.606557712 0.260411032 -0.316801925
1609060335.234525681 28.785711288 -2.240066456 1.692920037 0.665667833 -0.613517913 0.268325758 -0.329368174
1609060335.235270023 28.787298120 -2.250375920 1.744967223 0.653620622 -0.618801672 0.273980646 -0.338820276
1609060335.259555817 28.779272235 -2.259599096 1.700819911 0.649377635 -0.610880664 0.283973446 -0.352835066
1609060335.259768009 28.739699059 -2.235332637 1.737020615 0.647121423 -0.601400409 0.292453776 -0.366090427
1609060335.309292555 28.724694891 -2.235192091 1.652998385 0.639574941 -0.594356928 0.305168368 -0.380205212
1609060335.309743166 28.769112873 -2.236233358 1.702617636 0.631879190 -0.588233314 0.316901088 -0.392789968
1609060335.335212946 28.768831436 -2.240495179 1.691506207 0.624269336 -0.583250770 0.327486031 -0.403558218
1609060335.359487057 28.764049053 -2.242100060 1.662017930 0.617257706 -0.579314050 0.336663377 -0.412366253
1609060335.360263109 28.772240651 -2.240822071 1.711584593 0.610593683 -0.576380727 0.344446287 -0.419901617
1609060335.384567976 28.763549878 -2.243063031 1.674723590 0.605003032 -0.574047055 0.351669721 -0.425170221
1609060335.385275841 28.775342772 -2.241896240 1.722927722 0.599058896 -0.572550133 0.358249166 -0.430084084
1609060335.409524202 28.766619722 -2.245031426 1.673470190 0.595196566 -0.570720910 0.363599518 -0.433375219
1609060335.410343409 28.775628638 -2.244492821 1.720432247 0.590339045 -0.569298702 0.367840726 -0.438283013
1609060335.434520721 28.767461953 -2.237153468 1.689388213 -0.576760474 0.588842876 -0.366335701 0.431751754
1609060335.435257673 28.830693524 -2.256478164 1.772972361 -0.574325715 0.595214722 -0.363627712 0.428537391
1609060335.484271049 28.811842606 -2.264295703 1.664577282 -0.579015080 0.597029283 -0.356817633 0.425415972
1609060335.484766960 28.772295706 -2.254102177 1.697006230 -0.585679151 0.608847226 -0.345077614 0.408908826
1609060335.509534121 28.663500055 -2.251475381 1.628496423 -0.591232769 0.620318161 -0.333933396 0.392603717
1609060335.510228872 28.659120822 -2.247384684 1.663190498 -0.593306032 0.632131123 -0.324404956 0.378364401
1609060335.534517050 28.637156079 -2.253968706 1.603981008 -0.593274272 0.643875788 -0.315603166 0.365847304
1609060335.535279512 28.644084878 -2.252832285 1.647287805 -0.592924050 0.653852449 -0.308662358 0.354465225
1609060335.559543848 28.624772218 -2.253478812 1.598330642 -0.591436691 0.663164687 -0.302151490 0.345137240
1609060335.560288906 28.631502306 -2.251408060 1.649961481 -0.590170888 0.671082624 -0.297001283 0.336357953
1609060335.584553242 28.612773902 -2.250543579 1.599261247 -0.588066973 0.678915131 -0.291922791 0.328683076
1609060335.585319757 28.624399467 -2.242195763 1.649769826 -0.586165516 0.685810413 -0.287431378 0.321647738
1609060335.609513044 28.605325579 -2.231945884 1.565787349 -0.586178328 0.685157901 -0.288261910 0.322271142
1609060335.609725714 28.579658719 -2.204320721 1.614429518 -0.585103162 0.684538654 -0.290710282 0.323339841
1609060335.659482956 28.534684892 -2.198884230 1.472032334 -0.576240291 0.688141207 -0.297660617 0.325279823
1609060335.659716606 28.615884463 -2.204695732 1.590230955 -0.566214199 0.684269725 -0.309583891 0.339608950
1609060335.684583902 28.685579938 -2.208997385 1.565800354 -0.557484513 0.678499498 -0.321965009 0.353819138
1609060335.685230732 28.717504703 -2.201663802 1.655286946 -0.553287666 0.668864961 -0.334059183 0.367283113
1609060335.709486008 28.706960762 -2.183356952 1.620104621 -0.551657640 0.658580838 -0.344197348 0.378778713
1609060335.710251093 28.725471074 -2.177678918 1.691607886 -0.551257128 0.648335076 -0.352185480 0.389541519
1609060335.734561682 28.710638063 -2.176900380 1.636502012 -0.551585115 0.638642975 -0.359487548 0.398318608
1609060335.735289097 28.732855416 -2.176490061 1.704089934 -0.552296799 0.629417493 -0.365244716 0.406691729
1609060335.759473085 28.716968652 -2.178864623 1.645673116 -0.553686517 0.621411588 -0.370155490 0.412630334
1609060335.760180712 28.739655312 -2.188483827 1.714310670 -0.555724159 0.612142362 -0.374872427 0.419431819
1609060335.784540415 28.745285583 -2.190908586 1.709112340 -0.557871106 0.604376048 -0.378970839 0.424135030
1609060335.834474325 28.711456573 -2.190742001 1.562869148 -0.559401375 0.597823979 -0.382694282 0.428044016
1609060335.834742546 28.748484840 -2.191302465 1.663402320 -0.560806178 0.591693849 -0.385490523 0.432194257
1609060335.860176802 28.739882674 -2.199082663 1.636274323 -0.560820302 0.588198410 -0.386831526 0.435734541
1609060335.884517193 28.727326030 -2.210613367 1.585766828 -0.561310259 0.585246688 -0.387867086 0.438150922
1609060335.885298252 28.749546305 -2.211622029 1.674849245 -0.562381254 0.581352603 -0.388368876 0.441504351
1609060335.909567833 28.726787873 -2.212030150 1.609179734 -0.562911564 0.578951740 -0.389067832 0.443364045
1609060335.910239935 28.751939914 -2.212025162 1.689107707 -0.563650414 0.576071382 -0.389065627 0.446170272
1609060335.934558392 28.727840484 -2.210297057 1.614533393 -0.563561840 0.575057279 -0.389136422 0.447526562
1609060335.935245037 28.753159872 -2.201094943 1.691572795 -0.563376744 0.573796230 -0.388676001 0.449772717
1609060335.959504128 28.757678857 -2.201478539 1.685534547 -0.563971640 0.573392284 -0.386645028 0.451290262
1609060336.009263754 28.720878672 -2.200513989 1.491931510 -0.573237075 0.567779063 -0.381100318 0.451429661
1609060336.009724617 28.723720075 -2.194242605 1.594217954 0.572853582 -0.577326776 0.372340262 -0.447096518
1609060336.035189152 28.712058932 -2.192747699 1.553783106 0.577845657 -0.577118426 0.365211726 -0.446821121
1609060336.059474945 28.700907840 -2.193582625 1.493965500 0.581042423 -0.576336238 0.360942876 -0.447153758
1609060336.060239792 28.740614514 -2.196180715 1.595417687 0.584531197 -0.574797811 0.355527641 -0.448921878
1609060336.084522486 28.717350368 -2.198567306 1.522499658 0.586909185 -0.573407527 0.352336885 -0.450111249
1609060336.085274696 28.747907109 -2.197470442 1.612945589 0.589252943 -0.572329276 0.347938696 -0.451839388
1609060336.109476089 28.721551279 -2.198677493 1.532714386 0.590863350 -0.571131883 0.345600330 -0.453044463
1609060336.110227823 28.751723291 -2.198276087 1.622053621 0.592876368 -0.570227675 0.342093767 -0.454213458
1609060336.134469509 28.754143944 -2.202530699 1.612546824 0.594158063 -0.569556371 0.340014059 -0.454941947
1609060336.184304714 28.696536713 -2.205518853 1.418976281 0.589608065 -0.568840625 0.345218062 -0.457828748
1609060336.184798479 28.772618462 -2.206065636 1.561186569 0.583891128 -0.571806424 0.349646652 -0.458100189
1609060336.209475040 28.722650955 -2.211748391 1.494357524 0.578249994 -0.574647606 0.354149500 -0.458241427
1609060336.210193396 28.746726129 -2.216759458 1.601018638 0.572737930 -0.578437593 0.358272277 -0.457189447
1609060336.234522104 28.711459046 -2.225243207 1.513209217 -0.579732835 0.577633495 -0.354027798 0.452673949
1609060336.235270739 28.736390952 -2.223470369 1.618875955 -0.575536371 0.582540974 -0.356552631 0.449748953
1609060336.259274244 28.691984575 -2.220785465 1.527372810 -0.572826316 0.586181708 -0.358103146 0.447239481
1609060336.260318995 28.718118802 -2.218008090 1.628047605 -0.569546362 0.590011162 -0.360360615 0.444571701
1609060336.284510136 28.683551440 -2.220760738 1.531716554 -0.567740607 0.591962309 -0.362390097 0.442633760
1609060336.285259485 28.713098449 -2.223860256 1.633152189 -0.565103199 0.594548253 -0.364390296 0.440897337
1609060336.309500933 28.678499666 -2.220176126 1.530721107 -0.563124505 0.596362530 -0.366047409 0.439604162
1609060336.309747696 28.729475468 -2.217260317 1.678388077 -0.560886214 0.598847122 -0.367176255 0.438144243
1609060336.359470606 28.656291014 -2.220236151 1.425506834 -0.558257259 0.601222344 -0.368920052 0.436782006
1609060336.359732866 28.701214928 -2.215482896 1.547040066 -0.556660326 0.609002255 -0.368895818 0.427973610
1609060336.384512663 28.614753559 -2.216799626 1.445233932 -0.556380494 0.615172173 -0.368041768 0.420177583
